player_name,r1_ott_mean,r2_ott_mean,r3_ott_mean,r4_ott_mean,tourn_ott_per_round_mean,r1_app_mean,r2_app_mean,r3_app_mean,r4_app_mean,tourn_app_per_round_mean,r1_arg_mean,r2_arg_mean,r3_arg_mean,r4_arg_mean,tourn_arg_per_round_mean,r1_putt_mean,r2_putt_mean,r3_putt_mean,r4_putt_mean,tourn_putt_per_round_mean,r1_total_mean,r2_total_mean,r3_total_mean,r4_total_mean,tourn_total_sg_per_round_mean
"aberg, ludvig",0.4500748531179009,0.4779895430433335,0.4617265113555566,0.47558577943577196,0.4663441717381408,0.6484195951976927,0.67330144198675,0.6482806471063836,0.6652933517394607,0.6588237590075717,0.0445151922103929,0.06537475547570791,0.0524337907380384,0.06523314741671135,0.05688922146021264,0.18135765078913538,0.1941207155123801,0.17749720256091794,0.1974663192660849,0.18761047203212958,1.3243672913151219,1.4107864560181715,1.3399381517608964,1.4035785978580289,1.3696676242380548
"armitage, marcus",0.15482124913967107,0.1461307656662426,0.13600268984235653,0.14369191789543512,0.14516165563592634,0.24417607833982288,0.23227112193446725,0.22077786569034316,0.2203268914145174,0.22938798934478766,-0.40208136437205494,-0.4069398808789308,-0.4174268537273641,-0.40630779171492265,-0.40818897267331816,-0.3330925548577326,-0.3441423749196307,-0.3383366051466267,-0.3177270272517002,-0.3333246405439225,-0.3361765917502936,-0.3726803681978516,-0.3989829033412911,-0.36001600965667035,-0.3669639682365267
"ayora fanegas, angel",0.19597843093916212,0.1964401711959604,0.16751551046720925,0.1862126210484497,0.1865366834126954,0.18037287613124495,0.16514308443901243,0.15878733543500012,0.17049812363168929,0.16870035490923668,0.0974303581382164,0.08698565214962939,0.0649846330043112,0.07751519420267021,0.0817289593737068,0.11400770892158857,0.10948644091034768,0.08559729187632246,0.10687761953180942,0.10399226531001703,0.587789374130212,0.5580553486949499,0.4768847707828431,0.5411035584146187,0.540958263005656
"bauchou, zach",0.005672839718131681,-0.008568868111231993,-0.028208189926417222,-0.007373871978677658,-0.009619522574548798,0.40555958049174184,0.40145902977194414,0.3802596817533349,0.3878463010262345,0.39378114826081384,0.02586274582493679,0.017535215474020927,-0.007221670273902304,0.007151494101073537,0.010831946281532239,-0.2350445922428605,-0.24094530857743235,-0.26106767631410144,-0.24996956010296065,-0.24675678430933876,0.20205057379194985,0.16948006855730074,0.08376214523891395,0.13765436304566972,0.14823678765845852
"bradbury, dan",0.7951003720029499,0.818818150704651,0.8118280131988269,0.8082300130667205,0.8084941372432871,-0.23084993570359477,-0.19806482618250443,-0.21654206054690248,-0.20585143523853078,-0.21282706441788313,-0.1999259884915886,-0.17555622355997175,-0.19467797771754286,-0.18470218856466733,-0.18871559458344264,-1.2122676546413982,-1.192193808711559,-1.2037091804137352,-1.1990057704898263,-1.2017941035641297,-0.8479432068336317,-0.7469967077493842,-0.8031012054793536,-0.7813293812263039,-0.7948426253221684
"brennan, michael",0.9425760221718442,0.9303738646651284,0.9491415799998132,0.955751276900048,0.9444606859342084,0.15358517952718898,0.14333664860749049,0.15262376091639515,0.16792609515705623,0.15436792105203273,-0.4122477993783396,-0.41603410617677417,-0.4137228920783059,-0.39436607087321957,-0.40909271712665984,-0.18179803555735377,-0.18794654464754018,-0.17954080646535428,-0.18198189293005992,-0.18281681990007706,0.5021153667633399,0.46972986244830445,0.508501642372548,0.5473294082538248,0.5069190699595043
"brown, dan",0.21081899665634665,0.21078877701343784,0.19177527409940093,0.20625530551610338,0.20490958832132222,0.5701500945490311,0.5776146757495961,0.5428886723583972,0.5772925114139457,0.5669864885177425,-0.38443242333955624,-0.3936304789588024,-0.4127678233135594,-0.39069127993296066,-0.39538050138621966,-0.23062809244766905,-0.24393717314277147,-0.2499695483425421,-0.24369461329196815,-0.2420573568062377,0.16590857541815243,0.15083580066146007,0.07192657480169673,0.14916192370512024,0.13445821864660734
"campbell, brian",-0.6974831819409208,-0.7335109444092669,-0.7541438281253667,-0.7434967923037481,-0.7321586866948258,-0.28785898719280745,-0.328438376445289,-0.3527735174471723,-0.3448855432731584,-0.32848910608960674,-0.003470981318851533,-0.03664388561611656,-0.060766374462196196,-0.05538268014295206,-0.039065980385029085,0.16306208458493243,0.12916756944423227,0.10629822310584217,0.11664743113890598,0.1287938270684782,-0.8257510658676473,-0.9694256370264402,-1.061385496928893,-1.0271175845809524,-0.9709199461009833
"canter, laurie",0.5892189702897301,0.6037344022807357,0.5891024397285635,0.5939996237499979,0.5940138590122568,-0.21328040913247304,-0.19888982313086598,-0.20737706576940942,-0.19735723468684166,-0.20422613317989752,-0.21043778929861018,-0.20598059030767554,-0.20670733771872468,-0.2015920955523374,-0.20617945321933695,-0.15909076587058715,-0.1543600205371427,-0.16738674771429157,-0.16132864409152356,-0.16054154455338623,0.006410005988059769,0.04450396830505146,0.007631288526137814,0.03372164941929534,0.023066728059636082
"cantlay, patrick",0.2887662751763636,0.31240190697165976,0.2877514545466649,0.3078380395430891,0.29918941905944435,0.6876075939586052,0.7160036390963918,0.6920120470465816,0.7144416078943847,0.7025162219989907,0.16748169793311024,0.1869076984812161,0.1619811511907683,0.18269317112905434,0.17476592968353724,0.0465229959717262,0.07091440839746231,0.054361650686667165,0.05961999180077493,0.057854761714157654,1.1903785630398052,1.2862276529467298,1.1961063034706818,1.264592810367303,1.23432633245613
