source_player_id,source_player_name,datagolf_player_name,canonical_name,event_key,first_seen_at,last_seen_at
45242,Kevin Yu,"yu, kevin","yu, kevin",pga:R2026524,2026-07-28T20:00:15.857631+00:00,2026-07-31T02:59:48.694915+00:00
45522,Christiaan Bezuidenhout,"bezuidenhout, christiaan","bezuidenhout, christiaan",pga:R2026524,2026-07-28T20:00:15.857631+00:00,2026-07-31T02:59:48.694915+00:00
46046,Scottie Scheffler,"scheffler, scottie","scheffler, scottie",pga:R2026525,2026-07-28T20:00:15.857631+00:00,2026-07-28T20:02:01.510710+00:00
46442,Maverick McNealy,"mcnealy, maverick","mcnealy, maverick",pga:R2026525,2026-07-28T20:00:15.857631+00:00,2026-07-28T20:02:01.510710+00:00
46443,Brian Campbell,"campbell, brian","campbell, brian",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
46464,Jordan Smith,"smith, jordan","smith, jordan",pga:R2026524,2026-07-28T20:00:15.857631+00:00,2026-07-31T02:59:48.694915+00:00
47347,Adam Schenk,"schenk, adam","schenk, adam",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
47393,Jeffrey Kang,"kang, jeffrey","kang, jeffrey",pga:R2026524,2026-07-28T20:00:15.857631+00:00,2026-07-31T02:59:48.694915+00:00
47420,Jake Knapp,"knapp, jake","knapp, jake",pga:R2026524,2026-07-28T20:00:15.857631+00:00,2026-07-31T02:59:48.694915+00:00
47591,Eric Cole,"cole, eric","cole, eric",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
47917,Takumi Kanaya,"kanaya, takumi","kanaya, takumi",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
47983,Chad Ramey,"ramey, chad","ramey, chad",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
47993,Denny McCarthy,"mccarthy, denny","mccarthy, denny",pga:R2026524,2026-07-28T20:00:15.857631+00:00,2026-07-31T02:59:48.694915+00:00
47995,Davis Riley,"riley, davis","riley, davis",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
48001,Zach Bauchou,"bauchou, zach","bauchou, zach",pga:R2026524,2026-07-28T20:00:15.857631+00:00,2026-07-31T02:59:48.694915+00:00
48081,Xander Schauffele,"schauffele, xander","schauffele, xander",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
48117,Kurt Kitayama,"kitayama, kurt","kitayama, kurt",pga:R2026525,2026-07-28T20:00:15.857631+00:00,2026-07-28T20:02:01.510710+00:00
48153,Matthieu Pavon,"pavon, matthieu","pavon, matthieu",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
48867,Matti Schmid,"schmid, matthias","schmid, matthias",pga:R2026524,2026-07-28T20:00:15.857631+00:00,2026-07-31T02:59:48.694915+00:00
48887,Matt Wallace,"wallace, matt","wallace, matt",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
49037,Stefano Mazzoli,"mazzoli, stefano","mazzoli, stefano",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
49120,Kensei Hirata,"hirata, kensei","hirata, kensei",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
49228,Keita Nakajima,"nakajima, keita","nakajima, keita",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
49766,Hank Lebioda,"lebioda, hank","lebioda, hank",pga:R2026524,2026-07-28T20:00:15.857631+00:00,2026-07-31T02:59:48.694915+00:00
49826,Brad Dalke,"dalke, brad","dalke, brad",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
49964,Aaron Wise,"wise, aaron","wise, aaron",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
50095,Austin Smotherman,"smotherman, austin","smotherman, austin",pga:R2026524,2026-07-28T20:00:15.857631+00:00,2026-07-31T02:59:48.694915+00:00
50188,"kim, s.h.","Kim, Seonghyeon","Kim, Seonghyeon",,2026-07-30T20:57:42.572014+00:00,2026-07-30T20:57:42.572014+00:00
50286,A.J. Ewart,"ewart, a.j.","ewart, a.j.",pga:R2026524,2026-07-28T20:00:15.857631+00:00,2026-07-31T02:59:48.694915+00:00
50484,Hayden Springer,"springer, hayden","springer, hayden",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
50497,Adrien Dumont de Chassart,"dumont de chassart, adrien","dumont de chassart, adrien",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
51003,Marco Penge,"penge, marco","penge, marco",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
51287,Ryo Hisatsune,"hisatsune, ryo","hisatsune, ryo",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
51349,Nico Echavarria,"echavarria, nicolas","echavarria, nicolas",pga:R2026524,2026-07-30T20:57:42.572014+00:00,2026-07-31T02:59:48.694915+00:00
51600,Jimmy Stanger,"stanger, jimmy","stanger, jimmy",pga:R2026524,2026-07-28T20:00:15.857631+00:00,2026-07-31T02:59:48.694915+00:00
51696,Rico Hoey,"hoey, rico","hoey, rico",pga:R2026524,2026-07-28T20:00:15.857631+00:00,2026-07-31T02:59:48.694915+00:00
51766,Wyndham Clark,"clark, wyndham","clark, wyndham",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
51894,Vince Whaley,"whaley, vince","whaley, vince",pga:R2026524,2026-07-28T20:00:15.857631+00:00,2026-07-31T02:59:48.694915+00:00
51950,Max McGreevy,"mcgreevy, max","mcgreevy, max",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
51977,Max Greyserman,"greyserman, max","greyserman, max",pga:R2026524,2026-07-28T20:00:15.857631+00:00,2026-07-31T02:59:48.694915+00:00
51997,Andrew Novak,"novak, andrew","novak, andrew",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
52375,Doug Ghim,"ghim, doug","ghim, doug",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
52453,Nicolai Højgaard,"hojgaard, nicolai","hojgaard, nicolai",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
52514,Trace Crowe,"crowe, trace","crowe, trace",pga:R2026524,2026-07-28T20:00:15.857631+00:00,2026-07-31T02:59:48.694915+00:00
52686,Rasmus Højgaard,"hojgaard, rasmus","hojgaard, rasmus",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
