event_id,built_at,player_name,dg_id,sg_ott_rolling,sg_app_rolling,sg_arg_rolling,sg_putt_rolling,driving_dist_rolling,driving_acc_rolling,sg_total_rolling,archetype
28,2026-08-17,"aberg, ludvig",,0.6103478589053017,0.754754217193748,0.16905800123371126,0.300329217193748,9.129631687914898,0.616815,2.0216309049497934,Stud
28,2026-08-17,"bhatia, akshay",,-0.13815492856571437,0.6101791178665712,0.17881705000399992,0.6695991178665712,-1.2015701007239536,0.5857,1.484814240175938,APP_PUTT
28,2026-08-17,"brennan, michael",,0.7464536348066195,0.37789549743092254,-0.3669964556353662,0.20479549743092254,13.16194667790423,0.58768,0.9615681740330987,Long Wild
28,2026-08-17,"bridgeman, jacob",,0.12085924001487017,0.29395749602453575,0.05577696801040911,0.4102374960245358,-2.5575037732060215,0.6240949999999998,0.7274002576445566,Short Accurate
28,2026-08-17,"burns, sam",,0.34612865483487054,0.5740180304775363,0.005678558384409355,0.8958180304775365,3.9649858466971803,0.5904499999999999,1.9699906716310958,APP_PUTT
28,2026-08-17,"cantlay, patrick",,0.38469333931084676,0.6657442598628972,0.2912848375175927,0.18905425986289714,1.9686928027885884,0.609455,1.533165205524125,APP_ARG
28,2026-08-17,"cauley, bud",,0.19408417318352134,0.3400343857528103,0.284782921228465,-0.051940614247189695,-1.5872737980225318,0.603115,0.9201169443721571,Balanced ARG
28,2026-08-17,"clark, wyndham",,0.12161518414778877,0.34695530384385154,0.4596451289034521,0.5268453038438514,6.2552805711818396,0.5760750000000001,1.7144585432107744,ARG_PUTT
28,2026-08-17,"cole, eric",,-0.44163305155304167,0.16572771493748117,0.39270736391287075,0.5417177149374812,-1.3671527058302704,0.5384199999999999,0.9174658166172339,ARG_PUTT
28,2026-08-17,"echavarria, nicolas",,-0.13575532661751913,-0.025304038918906598,-0.0431482286322634,0.3037259610810934,-5.197464766725651,0.605575,-0.0021588873516160275,Short Game Specialist
28,2026-08-17,"fitzpatrick, alex",,0.348117426722323,0.747257754091833,0.028634198705626043,-0.15014224590816716,0.4269189646671408,0.6169375,0.9732671336116147,Ball Striker
28,2026-08-17,"fitzpatrick, matt",,0.30381822321504026,0.8193733183048164,0.5633812562505283,0.3388683183048164,-3.028044861371532,0.6622849999999999,2.0697702854370594,Stud
28,2026-08-17,"fleetwood, tommy",,0.5292053275405201,0.5882482904418579,0.41406972927836405,0.5441632904418581,-2.6809956879682506,0.691025,2.0089087963204855,Stud
28,2026-08-17,"fowler, rickie",,0.3750375252472442,0.26489291665795295,0.04824926767307095,0.413022916657953,-2.076906729486922,0.6361650000000001,0.9900820357017405,Short Accurate
28,2026-08-17,"fox, ryan",,0.24358262745440537,0.3812150852997688,0.023720339218083756,0.30139008529976874,5.198028423824495,0.5400999999999999,0.8759057552543408,Elite Putter
28,2026-08-17,"gerard, ryan",,0.1866551834710281,0.4622083027271964,-0.07320087157028034,0.4323833027271964,0.9034154884297686,0.6392450000000001,1.1452579008304111,Elite Putter
28,2026-08-17,"gotterup, chris",,0.7189716711758762,0.3473637574401959,-0.0537958301768866,0.4994687574401959,13.555571260282036,0.5548549999999999,1.5783149406061767,OTT_PUTT
28,2026-08-17,"griffin, ben",,0.07318686198761216,0.17742232227956006,0.4258578033913285,0.56513732227956,0.8931480748776485,0.59589,1.2183471773629138,ARG_PUTT
28,2026-08-17,"henley, russell",,0.3279694333832929,0.5787288150824332,0.16702510336830503,0.5671938150824334,-8.631254058625945,0.728265,1.59507049613007,Stud
