player_name,r1_ott_mean,r2_ott_mean,r3_ott_mean,r4_ott_mean,tourn_ott_per_round_mean,r1_app_mean,r2_app_mean,r3_app_mean,r4_app_mean,tourn_app_per_round_mean,r1_arg_mean,r2_arg_mean,r3_arg_mean,r4_arg_mean,tourn_arg_per_round_mean,r1_putt_mean,r2_putt_mean,r3_putt_mean,r4_putt_mean,tourn_putt_per_round_mean,r1_total_mean,r2_total_mean,r3_total_mean,r4_total_mean,tourn_total_sg_per_round_mean
"aberg, ludvig",0.6872711651011836,0.5648806369928147,0.6215949285639795,0.6382582799003093,0.628001252639567,0.6042427858198613,0.4898481773678428,0.5493574768581252,0.5564784703973086,0.549981727610788,0.3367714976341907,0.3034614440762236,0.30218631873091517,0.3159170047487706,0.31458406629752217,0.36265815424767717,0.3217075849105151,0.32748402863542303,0.3420430916388614,0.3384732148581154,1.9909436028029024,1.6798978433473932,1.8006227527884382,1.8526968466852278,1.8310402614059902
"berger, daniel",0.2925084686702048,0.3457486750429504,0.2740267535293878,0.295283820697775,0.30189192948507915,0.8211979355838215,0.8689836002956789,0.7927478382700124,0.8202052397874622,0.8257836534842435,-0.3571959913425523,-0.3381012020563698,-0.37972397596936563,-0.35720789717369994,-0.3580572666354983,-0.0638144953648142,-0.054490606555260494,-0.09146339631212351,-0.07154758855746131,-0.0703290216974153,0.6926959175466573,0.8221404667270035,0.5955872195179099,0.6867335747540801,0.6992892946364128
"bhatia, akshay",-0.207841116915967,-0.009218590576883632,-0.10196811549546066,-0.08774579965484361,-0.10169340566078823,0.6622281944241089,0.8570428026175119,0.7763541235722234,0.7910473357515428,0.7716681140913624,-0.21605353954872952,-0.11247792167184763,-0.17679689170241308,-0.1699116028323392,-0.16880998893883462,0.5253141209408261,0.6349675202656292,0.5619953314670497,0.5851629341133601,0.576859976696717,0.7636476589002367,1.3703138106344201,1.0595844478414018,1.1185528673777165,1.0780246961884439
"blanchet, chandler",0.4027831828310223,0.35935629582795225,0.3159888019110691,0.3407813194290187,0.3547273999997656,0.1451928319038634,0.11945167509572414,0.07364764430925094,0.10245564392013881,0.11018694880724435,-0.09518492412586799,-0.10900830826997798,-0.1357167878895992,-0.12719991764738162,-0.11677748448320774,-0.23089979634438274,-0.24552175756569886,-0.2683389771011864,-0.25888929946572653,-0.25091245761924846,0.22189129426463877,0.12427790508800106,-0.014419318770465598,0.05714774623604061,0.0972244067045537
"bradley, keegan",0.23065568263853445,0.3776041332675472,0.2830692286258063,0.2973428314420821,0.2971679689934951,-0.17316595470157317,-0.016419950683804488,-0.11639711266358245,-0.0870296966368813,-0.09825317867146079,0.2337370049610594,0.29563569099115705,0.23581301189451653,0.25301221617135394,0.2545494810045216,0.23168570212721235,0.2891243381301241,0.22666046340160415,0.253551979389367,0.250255620762072,0.5229124350252357,0.9459442117050209,0.6291455912583459,0.71687733036592,0.7037198920886306
"brennan, michael",0.9498432397680396,0.8394172606401976,0.8572123380947595,0.8836671674008529,0.8825350014759628,0.284989382125142,0.19236486696911564,0.19722811684816316,0.21073610166407897,0.2213296169016232,-0.3261446330215041,-0.36452170336634954,-0.3740891834450423,-0.3477662539609238,-0.35313044344845557,-0.3211993482750181,-0.3453240461206777,-0.34156558867810355,-0.33601774154195885,-0.3360266811539412,0.587488640596654,0.32193637812227954,0.3387856828197817,0.41061927356204453,0.4147074937751898
"bridgeman, jacob",0.2480247807754026,0.11608716132152702,0.15888706783377393,0.17096513039922043,0.17349103508247962,0.3499785248189067,0.19683441248302075,0.25233150413591643,0.24834015771508056,0.26187114978823034,0.03975899974597377,-0.010153673629162627,-0.01379967156210082,-0.006271602558376044,0.002383512999083617,0.8180285213798085,0.7727961564324711,0.7756733643120787,0.7851773794920003,0.7879188554040782,1.4557908267200872,1.0755640566078595,1.1730922647196624,1.19821106504793,1.2256645532738848
"burns, sam",0.1301467638897372,0.32374147571287043,0.2650692505620511,0.2813090216301266,0.25006662794869494,0.17411199828030025,0.3954728957147387,0.32692053218944833,0.33618385665975553,0.30817232071105943,-0.26979404732072193,-0.16887241827919902,-0.21203981681912443,-0.1855325516367267,-0.2090597085139421,0.8811933895613729,0.9801327816337054,0.9382685078869719,0.9570245988694467,0.9391548194878755,0.9156581044106772,1.5304747347821086,1.318218473819343,1.38898492552261,1.2883340596336847
"campbell, brian",-0.6390425611801195,-0.7442738652192302,-0.7726846067245847,-0.7633726213343718,-0.7298434136145711,-0.48393981820487364,-0.6027833759562209,-0.6266334744481774,-0.6206098744366543,-0.5834916357614843,0.06901951925767622,-0.009927931507360998,-0.04253593684066688,-0.031011644967688667,-0.0036139985145102276,0.4524058768777753,0.39559050240221505,0.35045719029857236,0.3598480296016473,0.3895753997950588,-0.6015569832495213,-0.9613946702805922,-1.0913968277148636,-1.055146111137086,-0.9273736480955158
"cantlay, patrick",0.23802874182018854,0.4394299303708694,0.36184524508426896,0.3748374985210893,0.35353535394909785,0.48158889650724157,0.6824157301797271,0.5968756759938255,0.6183532493308724,0.5948083880029145,0.39927572884783863,0.49607893845744583,0.4393048103058829,0.458408285924533,0.44826694088392105,0.1466884259277532,0.22832525244251564,0.18322298973563445,0.19413132745536701,0.1880919988903179,1.2655817931030178,1.8462498514505443,1.581248721119605,1.6457303612318679,1.5847026817262584
