player_name,dew_adj_r1,wind_adj_r1,dew_adj_r2,wind_adj_r2,dew_adv_r1_2,wind_adv_r1_2
"aberg, ludvig",-0.0,-0.17,-0.04,0.08,0.04,0.1
"arni sveinsson, gunnlaugur",0.01,0.21,0.04,-0.06,-0.05,-0.15
"berger, daniel",-0.0,-0.19,-0.03,0.08,0.03,0.11
"bhatia, akshay",0.0,0.2,0.04,-0.07,-0.04,-0.14
"blair, zac",-0.01,0.18,0.03,-0.08,-0.03,-0.1
"bradley, keegan",-0.0,-0.19,-0.03,0.08,0.03,0.11
"brennan, michael",-0.01,0.18,0.03,-0.08,-0.03,-0.1
"bridgeman, jacob",-0.01,-0.14,-0.05,0.06,0.06,0.07
"burns, sam",-0.0,-0.19,-0.03,0.08,0.03,0.11
"canter, laurie",-0.01,0.17,0.03,-0.09,-0.02,-0.08
"cantlay, patrick",0.01,0.21,0.04,-0.06,-0.04,-0.14
"cauley, bud",-0.01,0.18,0.03,-0.08,-0.02,-0.09
"celli, filippo",-0.01,-0.1,-0.06,0.04,0.07,0.06
"clark, wyndham",-0.0,0.2,0.04,-0.07,-0.03,-0.12
"coleman, hamilton",0.02,-0.31,-0.0,0.09,-0.01,0.23
"conners, corey",-0.0,0.19,0.04,-0.08,-0.03,-0.12
"coody, pierceson",-0.01,0.18,0.03,-0.08,-0.03,-0.1
"coussaud, ugo",-0.01,0.17,0.03,-0.09,-0.02,-0.08
"cowan, ryder",-0.01,0.17,0.03,-0.09,-0.02,-0.08
"day, jason",-0.01,0.19,0.03,-0.08,-0.03,-0.11
"dechambeau, bryson",-0.0,0.19,0.04,-0.08,-0.03,-0.12
"dossey, cooper",0.01,-0.29,-0.01,0.09,-0.0,0.2
"du plessis, hennie",-0.01,0.17,0.03,-0.09,-0.02,-0.08
"dumont de chassart, adrien",0.01,-0.25,-0.02,0.09,0.01,0.16
"echavarria, nicolas",0.0,0.2,0.04,-0.07,-0.04,-0.14
"english, harris",-0.0,-0.15,-0.04,0.07,0.05,0.08
"fang, ethan",0.01,-0.29,-0.01,0.09,-0.0,0.2
"fitzpatrick, alex",-0.01,-0.12,-0.06,0.05,0.06,0.06
"fitzpatrick, matt",-0.0,0.19,0.04,-0.08,-0.03,-0.12
"fleetwood, tommy",-0.0,-0.17,-0.04,0.08,0.04,0.1
"fleming, marek",0.02,0.21,0.03,-0.05,-0.05,-0.16
"fowler, rickie",-0.0,-0.19,-0.03,0.08,0.03,0.11
"fox, ryan",-0.0,0.19,0.04,-0.08,-0.03,-0.12
"gerard, ryan",-0.0,0.2,0.04,-0.07,-0.03,-0.12
"gotterup, chris",0.0,-0.21,-0.03,0.09,0.03,0.13
"greyserman, max",-0.01,-0.14,-0.05,0.06,0.06,0.07
"griffin, ben",-0.0,0.2,0.04,-0.07,-0.03,-0.12
"grillo, emiliano",0.01,-0.25,-0.02,0.09,0.01,0.16
"hall, harry",-0.01,0.18,0.03,-0.08,-0.03,-0.1
"hammer, cole",0.01,0.21,0.04,-0.06,-0.05,-0.15
"harber, vaughn",-0.01,-0.08,-0.07,0.03,0.08,0.05
"hardy, nick",0.01,0.21,0.04,-0.06,-0.05,-0.15
"harman, brian",-0.01,-0.14,-0.05,0.06,0.06,0.07
"harrington, padraig",0.0,-0.23,-0.02,0.09,0.02,0.14
"hatton, tyrrell",-0.0,-0.19,-0.03,0.08,0.03,0.11
"henley, russell",-0.0,0.2,0.04,-0.07,-0.03,-0.12
"herbert, lucas",0.0,-0.21,-0.03,0.09,0.03,0.13
"herrington, jackson",0.01,-0.29,-0.01,0.09,-0.0,0.2
"hidalgo portillo, angel",0.01,0.21,0.04,-0.06,-0.05,-0.15
"higgins, robbie",-0.01,-0.08,-0.07,0.03,0.08,0.05
"higgs, harry",0.02,-0.31,-0.0,0.09,-0.01,0.23
"hisatsune, ryo",-0.0,0.19,0.04,-0.08,-0.03,-0.12
"hojgaard, nicolai",0.0,0.2,0.04,-0.07,-0.04,-0.14
"holmes, j.b.",-0.01,-0.1,-0.06,0.04,0.07,0.06
"holtz, brandon",-0.01,-0.1,-0.06,0.04,0.07,0.06
"horschel, billy",0.01,0.21,0.04,-0.06,-0.04,-0.14
"hovland, viktor",-0.0,0.19,0.04,-0.08,-0.03,-0.12
"howell, mason",-0.01,-0.14,-0.05,0.06,0.06,0.07
"im, sungjae",0.0,-0.21,-0.03,0.09,0.03,0.13
"james, ben",-0.01,-0.12,-0.06,0.05,0.06,0.06
"johnson, dustin",-0.0,0.2,0.04,-0.07,-0.03,-0.12
"jordan, matthew",0.01,-0.27,-0.01,0.09,0.0,0.18
"keefer, johnny",0.01,0.21,0.04,-0.06,-0.05,-0.15
"kim, michael",-0.01,-0.12,-0.06,0.05,0.06,0.06
"kim, si woo",-0.0,-0.19,-0.03,0.08,0.03,0.11
"kim, t.k.",0.02,0.21,0.03,-0.05,-0.05,-0.16
"kim, tom",-0.01,-0.12,-0.06,0.05,0.06,0.06
"kimsey, nathan",0.01,-0.29,-0.01,0.09,-0.0,0.2
"kirk, chris",-0.01,0.18,0.03,-0.08,-0.02,-0.09
"kitayama, kurt",-0.0,-0.17,-0.04,0.08,0.04,0.1
"knapp, jake",-0.01,0.18,0.03,-0.08,-0.02,-0.09
"koepka, brooks",0.0,-0.21,-0.03,0.09,0.03,0.13
"kohles, ben",0.01,0.21,0.04,-0.06,-0.05,-0.15
"koivun, jackson",-0.01,-0.12,-0.06,0.05,0.06,0.06
"kyes, chase",0.01,-0.27,-0.01,0.09,0.0,0.18
"leach, greyson",-0.01,-0.08,-0.07,0.03,0.08,0.05
"lee, bryan",-0.01,0.17,0.03,-0.09,-0.02,-0.08
"lee, eric",0.01,-0.27,-0.01,0.09,0.0,0.18
"lee, min woo",0.0,0.2,0.04,-0.07,-0.04,-0.14
"lowry, shane",0.0,0.2,0.04,-0.07,-0.04,-0.13
"macintyre, robert",0.0,0.2,0.04,-0.07,-0.04,-0.14
"matsuyama, hideki",0.0,0.2,0.04,-0.07,-0.04,-0.13
"mccarty, matt",0.01,0.21,0.04,-0.06,-0.05,-0.15
"mcdowell, graeme",0.0,-0.23,-0.02,0.09,0.02,0.14
"mcgreevy, max",-0.01,0.18,0.03,-0.08,-0.02,-0.09
"mcilroy, rory",-0.0,-0.17,-0.04,0.08,0.04,0.1
"mcnealy, maverick",-0.0,-0.15,-0.04,0.07,0.05,0.08
"mitchell, keith",0.0,-0.23,-0.02,0.09,0.02,0.14
"montgomery, taylor",0.02,-0.31,-0.0,0.09,-0.01,0.23
"morikawa, collin",-0.01,0.19,0.03,-0.08,-0.03,-0.11
"mouw, william",-0.01,0.17,0.03,-0.09,-0.02,-0.08
"nicholas, james",0.02,-0.31,-0.0,0.09,-0.01,0.23
"niemann, joaquin",0.0,0.2,0.04,-0.07,-0.04,-0.13
"noren, alex",-0.0,-0.15,-0.04,0.07,0.05,0.08
"norgaard moller, niklas",-0.01,0.17,0.03,-0.09,-0.02,-0.08
"novak, andrew",-0.0,-0.17,-0.04,0.08,0.04,0.1
"oiwa, ryuichi",-0.01,-0.1,-0.06,0.04,0.07,0.06
"onishi, kaito",-0.01,-0.08,-0.07,0.03,0.08,0.05
"ormond, jackson",-0.01,-0.1,-0.06,0.04,0.07,0.06
