player_name,category_clean,mean,std,skew,excess_kurtosis,n,n_eff,distribution_source,category_profile_shrinkage_adjustment,category_profile_shrinkage_factor,course_history_category_signal,course_history_category_raw_adjustment,course_history_category_adjustment
"akina, kihei",sg_app,-0.7826620372009986,1.5006330041933202,-0.0012618765044705993,0.0,4,3.9920185168366293,empirical_bayes_partial,0.0,1.0,0.0,0.0,0.0
"akina, kihei",sg_arg,-0.37822481278347786,1.1116105116131292,-0.005028618457776322,0.0,4,3.9920185168366293,empirical_bayes_partial,0.0,1.0,0.0,0.0,0.0
"akina, kihei",sg_ott,-0.0014919853148102902,1.164488296771702,-0.6938185337768739,0.0,4,3.9920185168366293,empirical_bayes_partial,0.0,1.0,0.0,0.0,0.0
"akina, kihei",sg_putt,-0.13844365097740355,1.7620283542893538,-0.33595419834791956,0.0,4,3.9920185168366293,empirical_bayes_partial,0.0,1.0,0.0,0.0,0.0
"bauchou, zach",sg_app,0.13508706557452133,1.5515797418497286,0.11629589375207426,-0.4353121798748725,62,42.275137715953505,player_ema,0.0,1.0,0.0,0.0,0.0
"bauchou, zach",sg_arg,-0.05631965826914145,0.9587093001245911,-0.028458260293881193,1.8997798276769524,62,42.275137715953505,player_ema,-0.0,1.0,0.0,0.0,0.0
"bauchou, zach",sg_ott,0.026163935620894325,0.7994729172694082,-0.8229786679030197,1.5334289535512564,62,42.275137715953505,player_ema,-0.0,1.0,0.0,0.0,0.0
"bauchou, zach",sg_putt,0.11632145610844893,1.8247862164826,-0.03196770900200337,-0.3488615175820162,62,42.275137715953505,player_ema,0.0,1.0,0.0,0.0,0.0
"bezuidenhout, christiaan",sg_app,0.4615815540684338,1.3238109963042146,0.16290179848188202,-0.15112923129628042,443,49.99999798963263,player_ema,0.0,1.0,-1.5891555965284248,-0.0,0.025
"bezuidenhout, christiaan",sg_arg,0.15211389147732068,0.735252993336771,0.49210651604553124,0.5429702263334946,443,49.99999798963263,player_ema,-0.0,1.0,3.562617683682843,0.0,0.025
"bezuidenhout, christiaan",sg_ott,-0.4082918772704639,0.8808841549772237,-0.5540408475921353,-0.14017285841310612,443,49.99999798963263,player_ema,-0.0,1.0,-4.26006349369608,-0.1,-0.07500000000000001
"bezuidenhout, christiaan",sg_putt,0.30770998460089477,1.4098033230834406,-0.03511160401408776,-0.037546636586733406,443,49.99999798963263,player_ema,0.0,1.0,-3.760204575084407,-0.0,0.025
"blair, zac",sg_app,0.5090001357091285,1.3163465635004477,0.34855934290122126,0.5274930122449506,261,49.997080232666846,player_ema,0.0,1.0,-4.091819503709338,-0.0,-0.019086891747656157
"blair, zac",sg_arg,0.13291493398317175,0.9889528641597825,-0.7559831283576821,1.6276018092729139,261,49.997080232666846,player_ema,0.0,1.0,-3.97068870804094,-0.0,-0.019086891747656157
"blair, zac",sg_ott,-0.3849747177662275,0.8178531694462129,-0.6027278297907753,0.49523984615553607,261,49.997080232666846,player_ema,-0.0,1.0,3.053902679624985,0.07634756699062463,0.057260675242968476
"blair, zac",sg_putt,0.190827470806419,1.857929465455367,-0.15123032263094538,-0.9067424673828608,261,49.997080232666846,player_ema,0.0,1.0,1.9948073138631253,0.0,-0.019086891747656157
"blanchet, chandler",sg_app,0.04052421394896391,1.4252501843022591,-0.08746599050575155,0.018903178664906317,60,41.685170770769425,player_ema,0.0,1.0,0.0,0.0,0.0
"blanchet, chandler",sg_arg,-0.5150918470215589,1.0267641086770503,-0.6736366663075822,0.9943507504183118,60,41.685170770769425,player_ema,-0.0,1.0,0.0,0.0,0.0
"blanchet, chandler",sg_ott,0.15853667225298929,0.8635614551955827,-1.319831337845892,1.8934358776998081,60,41.685170770769425,player_ema,0.0,1.0,0.0,0.0,0.0
"blanchet, chandler",sg_putt,-0.19199932193691843,1.921290148252131,-0.14398599448667662,0.05122206582203548,60,41.685170770769425,player_ema,-0.0,1.0,0.0,0.0,0.0
"bradley, keegan",sg_app,0.5553182270721266,1.880455730749754,-0.22311080906710348,-0.03931422284573083,504,49.9999998248317,player_ema,0.0,1.0,-3.044597628022932,-0.0,0.0007992634210349094
"bradley, keegan",sg_arg,0.1963959935219167,0.961771929480996,0.29160600311639323,1.2958137495781656,504,49.9999998248317,player_ema,-0.0,1.0,1.4341955798447468,0.0,0.0007992634210349094
"bradley, keegan",sg_ott,0.20264885707011604,0.9691008143190373,-0.7133102720619281,-0.09345062523375747,504,49.9999998248317,player_ema,-0.0,1.0,-0.1278821473655855,-0.003197053684139638,-0.0023977902631047284
"bradley, keegan",sg_putt,0.02319644535241495,1.5223963240205196,-0.5118119453298042,0.5617385334774623,504,49.9999998248317,player_ema,-0.0,1.0,-0.2304401403460608,-0.0,0.0007992634210349094
"brennan, michael",sg_app,0.4220923266108163,1.7721018073531618,-0.25441178162963207,-0.057372977056465047,77,45.60774372535748,player_ema,0.0,1.0,0.0,0.0,0.0
"brennan, michael",sg_arg,-0.37813229351974254,1.1148575348864254,0.22303618899720024,2.372637794883876,77,45.60774372535748,player_ema,-0.0,1.0,0.0,0.0,0.0
"brennan, michael",sg_ott,0.5137297542972776,0.9954489040133553,-0.24484398524118525,-0.2160373190278917,77,45.60774372535748,player_ema,0.0,1.0,0.0,0.0,0.0
"brennan, michael",sg_putt,0.08684352222999761,1.691067068200785,-0.5814716262738129,0.7997304994630801,77,45.60774372535748,player_ema,-0.0,1.0,0.0,0.0,0.0
"brown, blades",sg_app,0.43854639895529574,1.505822534952633,-0.8241702908005579,0.4056826955346864,42,34.29341972480362,player_ema,0.0,1.0,0.0,0.0,0.0
"brown, blades",sg_arg,-0.10621301355721788,0.7624257224367679,-0.45661318135760226,0.3751062176985598,42,34.29341972480362,player_ema,-0.0,1.0,0.0,0.0,0.0
"brown, blades",sg_ott,0.17223449269975127,0.7297331183597433,-0.7048905645340412,0.6266191095126108,42,34.29341972480362,player_ema,-0.0,1.0,0.0,0.0,0.0
"brown, blades",sg_putt,0.209653211621319,1.3778100739866344,0.13050863743686603,-0.278708399293051,42,34.29341972480362,player_ema,0.0,1.0,0.0,0.0,0.0
"campbell, brian",sg_app,-0.0012064701876244588,1.9653442725355916,-0.12578571733944482,-0.12605621434001613,125,49.331158071953396,player_ema,0.0,1.0,1.1559762484442722,0.0,-0.002698432515052099
