player_name,bookmaker,decimal_odds,top_10,implied_prob,american_odds,edge,stake,eg,market_type,my_pred,sample,my_fair,top_20,side,pricing,sim_prob,yes_bid,yes_ask,target,filled,depth_at_best
"ramey, chad",kalshi,,,0.724121442,-262,-2.7,,,top_20,-0.5723407568846085,41.0,-230,,no,taker,0.69706,,,1000.0,1000.0,4.0
"whaley, vince",kalshi,,,0.07452513099999997,1242,-2.9,,,top_20,-0.92925707284715,41.0,2119,,yes,taker,0.04507,,,1000.0,1000.0,1.0
"coody, pierceson",kalshi,,,0.09570121499999996,945,-2.9,,,top_10,0.044365402987682,53.0,1402,,yes,taker,0.06659,,,1000.0,1000.0,1.0
"kim, michael",kalshi,,,0.24235537599999998,313,-2.9,,,top_20,0.4057943919295702,65.0,370,,yes,taker,0.21293,,,1000.0,1000.0,1.0
"ghim, doug",kalshi,,,0.09561656699999997,946,-3.0,,,top_10,0.8877272210566537,43.0,1430,,yes,taker,0.06537,,,1000.0,1000.0,1.0
"parry, john",kalshi,,,0.44712664300000005,124,-3.0,,,top_20,-0.0144834990709472,51.0,140,,yes,taker,0.41693,,,1000.0,1000.0,1.0
"smotherman, austin",kalshi,,,0.838816665,-520,-3.5,,,top_10,-0.4995070005762089,43.0,-411,,no,taker,0.80416,,,1000.0,1000.0,3.0
"parry, john",kalshi,,,0.231689309,332,-3.9,,,top_10,-0.0144834990709472,51.0,419,,yes,taker,0.19263,,,1000.0,1000.0,1.0
"smotherman, austin",kalshi,,,0.624815232,-167,-4.8,,,top_20,-0.4995070005762089,43.0,-136,,no,taker,0.57708,,,1000.0,1000.0,21.0
"hoey, rico",kalshi,,,0.5463384419999999,-120,-7.3,,,top_20,-0.0213671313384046,53.0,111,,no,taker,0.47348,,,1000.0,1000.0,1.0
