Player,Pred,66.5,67.5,68.5,69.5,70.5,71.5,72.5
"scheffler, scottie",2.69,185,-106,-204,-394,-786,-1683,-3731
"fleetwood, tommy",2.02,354,157,-135,-284,-624,-1416,-3544
"mcilroy, rory",1.99,263,142,-126,-222,-399,-717,-1368
"matsuyama, hideki",1.83,309,160,-116,-213,-393,-759,-1504
"schauffele, xander",1.74,374,180,-111,-215,-419,-842,-1775
"burns, sam",1.7,338,174,-107,-195,-357,-673,-1307
"fitzpatrick, matt",1.69,321,170,-109,-196,-355,-655,-1249
"macintyre, robert",1.64,402,193,-103,-198,-383,-761,-1591
"young, cameron",1.61,359,183,-101,-186,-339,-638,-1253
"kim, si woo",1.54,409,201,104,-182,-345,-671,-1346
"morikawa, collin",1.5,386,197,105,-175,-322,-604,-1159
"gotterup, chris",1.48,372,191,104,-172,-313,-578,-1108
"hovland, viktor",1.43,339,188,107,-159,-271,-468,-824
"cantlay, patrick",1.43,389,199,107,-170,-312,-571,-1106
"henley, russell",1.4,408,207,112,-162,-293,-543,-1032
"thomas, justin",1.38,445,220,114,-165,-308,-585,-1145
"aberg, ludvig",1.34,466,227,117,-159,-300,-573,-1124
"griffin, ben",1.26,493,236,120,-159,-301,-581,-1166
"mcnealy, maverick",1.23,463,232,123,-148,-269,-496,-945
"koivun, jackson",1.22,558,259,130,-151,-290,-577,-1188
"spaun, j.j.",1.16,581,266,133,-146,-283,-561,-1146
"gerard, ryan",1.14,459,237,130,-138,-248,-446,-828
"thorbjornsen, michael",1.11,489,248,132,-137,-245,-442,-832
"im, sungjae",1.1,504,247,131,-141,-260,-485,-934
"lowry, shane",1.08,615,278,137,-143,-282,-560,-1158
"fowler, rickie",1.04,624,286,144,-134,-258,-501,-1010
"rai, aaron",1.01,662,299,147,-133,-256,-502,-1019
"clark, wyndham",0.99,495,255,138,-129,-225,-401,-732
"lee, min woo",0.96,507,260,140,-127,-228,-408,-752
"kitayama, kurt",0.96,523,266,144,-126,-224,-403,-750
"kim, tom",0.95,705,315,155,-126,-243,-479,-987
"bridgeman, jacob",0.94,566,278,147,-125,-226,-413,-776
"conners, corey",0.91,574,280,146,-127,-233,-429,-823
"english, harris",0.84,575,289,154,-116,-205,-368,-677
"kim, michael",0.83,524,275,152,-116,-200,-351,-618
"mitchell, keith",0.82,591,293,152,-120,-217,-398,-742
"noren, alex",0.79,634,310,162,-113,-201,-365,-676
"smalley, alex",0.75,635,316,166,-110,-198,-359,-667
"scott, adam",0.75,599,300,161,-112,-198,-354,-642
"knapp, jake",0.75,547,284,156,-112,-195,-340,-601
"cauley, bud",0.71,765,352,175,-109,-202,-379,-735
"rose, justin",0.7,692,332,171,-109,-199,-369,-711
"poston, j.t.",0.69,487,267,156,-107,-177,-292,-488
"bhatia, akshay",0.69,594,303,165,-108,-189,-331,-590
"brennan, michael",0.66,585,301,164,-107,-188,-326,-579
"theegala, sahith",0.64,581,304,167,-106,-182,-313,-559
"smith, jordan",0.63,895,394,192,-102,-195,-377,-753
"fitzpatrick, alex",0.61,686,336,178,-102,-181,-324,-597
"spieth, jordan",0.59,724,352,184,100,-180,-326,-601
"hisatsune, ryo",0.57,926,410,199,101,-187,-354,-688
"harman, brian",0.54,886,404,201,104,-180,-340,-663
"taylor, nick",0.54,776,370,191,103,-175,-321,-594
"echavarria, nicolas",0.5,687,347,187,104,-167,-292,-519
"reitan, kristoffer",0.49,722,359,191,106,-167,-297,-532
"hojgaard, nicolai",0.48,706,355,191,106,-166,-294,-528
"woodland, gary",0.44,707,354,192,108,-161,-277,-486
"cole, eric",0.43,620,330,185,107,-157,-263,-452
"mccarty, matt",0.38,744,367,196,109,-162,-286,-511
"yellamaraju, sudarshan",0.24,797,393,209,116,-151,-264,-469
"homa, max",0.23,1258,514,241,121,-158,-306,-605
"castillo, ricky",0.19,1136,499,245,128,-144,-268,-504
"straka, sepp",0.18,928,446,232,128,-140,-246,-442
"hall, harry",0.18,799,400,213,120,-146,-254,-446
"fox, ryan",0.1,973,467,243,133,-134,-237,-419
"schmid, matthias",-0.12,851,442,245,141,-119,-197,-330
"stevens, samuel",-0.13,1144,539,276,152,-116,-204,-358
"coody, pierceson",-0.33,1008,512,278,160,-106,-178,-296
"potgieter, aldrich",-0.43,1006,514,286,165,-101,-164,-270
"rodgers, patrick",-0.48,1253,603,318,177,103,-165,-279
