player_name,player_name_original,category,category_clean,n,n_eff,mean,std,skew,excess_kurtosis,delta_mu,sigma_ratio,tail_ratio_course,mean_adj,std_adj,df_t,distribution,sanity_flags,q01_adj,q05_adj,q10_adj,q25_adj,q50_adj,q75_adj,q90_adj,q95_adj,q99_adj
"aberg, ludvig","Aberg, Ludvig",sg_app_adj,sg_app,209,49.97662711068312,0.4551856247110917,1.7533019220029569,-0.2546955569871766,-0.1606126592886485,0.0,1.0,0.0,0.4551856247110917,1.7533019220029569,inf,normal,,-3.9806999999999997,-2.4764,-1.7463999999999997,-0.8758000000000001,0.4032,1.9017,2.5696000000000003,2.9538,3.8592000000000004
"aberg, ludvig","Aberg, Ludvig",sg_arg_adj,sg_arg,209,49.97662711068312,0.1877525245702107,0.9239311779157686,-0.3039805610614762,0.1608399494629897,0.0,1.0,0.0,0.1877525245702107,0.9239311779157686,41.30416491694209,student_t,,-2.2482,-1.3092,-1.0214,-0.1793999999999999,0.2148,0.9438,1.3638,1.4726,2.2018
"aberg, ludvig","Aberg, Ludvig",sg_ott_adj,sg_ott,209,49.97662711068312,0.5929823945771204,0.9175188770046476,-1.1753194071329645,2.4781662188216105,0.0,1.0,0.0,0.5929823945771204,0.9175188770046476,6.421145100933969,student_t,df_t<8,-1.916,-0.8660000000000001,-0.46899999999999986,-0.06099999999999994,0.873,1.242,1.592,1.631,2.164
"aberg, ludvig","Aberg, Ludvig",sg_putt_adj,sg_putt,209,49.97662711068312,0.3878021659866853,1.418882870221586,0.2199697156726089,-0.1644101189457645,0.0,1.0,0.0,0.3878021659866853,1.418882870221586,inf,normal,,-2.5798,-1.6047,-1.1905,-0.6084,0.1276,1.3852,2.3872,3.2447,3.8605
"berger, daniel","Berger, Daniel",sg_app_adj,sg_app,316,49.9996765670683,0.8641184215143652,1.4855637300065865,-0.1713535276005713,0.9710020170214472,0.0,1.0,0.0,0.8641184215143652,1.4855637300065865,10.179183868644294,student_t,,-2.8187,-2.5552,-0.6896000000000001,0.10919999999999996,1.12735,1.7077,2.2426,3.7867,4.7637
"berger, daniel","Berger, Daniel",sg_arg_adj,sg_arg,316,49.9996765670683,-0.2443825300420132,1.1240497046172524,-0.7707921269292779,0.2937098030411791,0.0,1.0,0.0,-0.2443825300420132,1.1240497046172524,24.42832734172914,student_t,,-3.6902,-2.4217,-2.0192,-0.8356000000000001,-0.01839999999999989,0.6856,0.8996,1.2686,1.3184
"berger, daniel","Berger, Daniel",sg_ott_adj,sg_ott,316,49.9996765670683,0.2865727278174078,0.9076338618095864,-0.9551481234878209,0.8510722123900853,0.0,1.0,0.0,0.2865727278174078,0.9076338618095864,11.049930561297572,student_t,,-2.213,-1.454,-0.815,-0.20600000000000002,0.504,0.889,1.351,1.444,1.711
"berger, daniel","Berger, Daniel",sg_putt_adj,sg_putt,316,49.9996765670683,-0.0579229241797579,1.647328961006948,0.3809686085047041,-0.37967232982212,0.0,1.0,0.0,-0.0579229241797579,1.647328961006948,inf,normal,,-2.9655,-2.5358,-2.0715000000000003,-1.2803,-0.2338,1.16635,1.7117,2.9858,3.9787
"bezuidenhout, christiaan","Bezuidenhout, Christiaan",sg_app_adj,sg_app,391,49.999983903614456,0.251409790604481,1.3098016505254244,-0.566819949786612,0.6788280182024145,0.0,1.0,0.0,0.251409790604481,1.3098016505254244,12.838763043235064,student_t,,-3.8713999999999995,-2.4024,-1.7751,-0.40979999999999994,0.2863,0.99035,1.9932,2.2124,2.9525000000000006
"bezuidenhout, christiaan","Bezuidenhout, Christiaan",sg_arg_adj,sg_arg,391,49.999983903614456,0.3854628427043959,0.7195839331063272,0.0369472948223139,-0.3154006132360978,0.0,1.0,0.0,0.3854628427043959,0.7195839331063272,inf,normal,,-1.1639999999999997,-0.7561999999999999,-0.38839999999999997,-0.12819999999999998,0.2502,0.9102,1.3502,1.6456,1.8758
"bezuidenhout, christiaan","Bezuidenhout, Christiaan",sg_ott_adj,sg_ott,391,49.999983903614456,-0.2963889079292159,0.9294745049168338,-0.5998864202733574,-0.3692413081092489,0.0,1.0,0.0,-0.2963889079292159,0.9294745049168338,inf,normal,,-2.3529999999999998,-2.072,-1.733,-0.72,-0.10399999999999998,0.4119999999999999,0.8419999999999999,1.01,1.103
"bezuidenhout, christiaan","Bezuidenhout, Christiaan",sg_putt_adj,sg_putt,391,49.999983903614456,0.4164317881393573,1.5324403541044047,0.2387446169963173,0.0814014079923448,0.0,1.0,0.0,0.4164317881393573,1.5324403541044047,77.70879875400013,student_t,,-2.818,-1.9616,-1.7562999999999998,-0.6396499999999998,0.5002,1.2735,2.3426,3.1112,4.0842
"bhatia, akshay","Bhatia, Akshay",sg_app_adj,sg_app,274,49.998264238151066,0.7269096532922992,1.4707127747925566,0.186430382532276,0.9213335761849502,0.0,1.0,0.0,0.7269096532922992,1.4707127747925566,10.512299296466267,student_t,,-2.2938,-1.7842,-1.0658,-0.2368,0.6176,1.8836,2.1856,2.6543,5.1356
"bhatia, akshay","Bhatia, Akshay",sg_arg_adj,sg_arg,274,49.998264238151066,0.260459306714457,1.284144185934848,0.4033112977533057,-0.2199877081136287,0.0,1.0,0.0,0.260459306714457,1.284144185934848,inf,normal,,-2.3566,-1.7104,-1.3344,-0.5202,0.1609999999999999,1.1003999999999998,2.3064,2.6666,3.2086
"bhatia, akshay","Bhatia, Akshay",sg_ott_adj,sg_ott,274,49.998264238151066,-0.0287840331386798,1.2269343899016658,-1.516413139940808,2.382309225846339,0.0,1.0,0.0,-0.0287840331386798,1.2269343899016658,6.518564733286645,student_t,df_t<8,-3.792,-3.627,-1.21,-0.3149999999999999,0.1589999999999999,0.806,1.286,1.453,1.462
"bhatia, akshay","Bhatia, Akshay",sg_putt_adj,sg_putt,274,49.998264238151066,0.6841979886527865,1.84148642285066,-0.0641006598207936,0.4268162642766357,0.0,1.0,0.0,0.6841979886527865,1.84148642285066,18.057571142863416,student_t,,-3.8557999999999995,-2.6775,-1.4885000000000002,-0.3153999999999999,0.5496000000000001,1.6081,2.9827,3.3917,5.0597
"bradley, keegan","Bradley, Keegan",sg_app_adj,sg_app,450,49.999998480653765,0.0508941538525818,1.7181058633329789,0.6208423575815014,-0.1801488077585937,0.0,1.0,0.0,0.0508941538525818,1.7181058633329789,inf,normal,,-2.7944,-2.2744000000000004,-2.1277,-1.1904,-0.3556999999999999,1.3957000000000002,1.8717,3.5306,4.4786
"bradley, keegan","Bradley, Keegan",sg_arg_adj,sg_arg,450,49.999998480653765,0.5036402739186115,1.271667094600597,-0.6813696549541353,3.106262299342027,0.0,1.0,0.0,0.5036402739186115,1.271667094600597,5.9315818890345895,student_t,df_t<8,-4.1916,-1.06,-0.6965999999999998,-0.25539999999999996,0.5656000000000001,1.2908,1.6316000000000002,2.4958,3.2384
"bradley, keegan","Bradley, Keegan",sg_ott_adj,sg_ott,450,49.999998480653765,0.2769563363882943,0.9499077166909248,-0.3582154643862509,-0.3935304435332303,0.0,1.0,0.0,0.2769563363882943,0.9499077166909248,inf,normal,,-1.8559999999999999,-1.665,-1.023,-0.176,0.212,1.079,1.399,1.744,1.968
"bradley, keegan","Bradley, Keegan",sg_putt_adj,sg_putt,450,49.999998480653765,-0.0857943661908822,1.684628041441091,-0.2896454513262861,-0.4647047066466117,0.0,1.0,0.0,-0.0857943661908822,1.684628041441091,inf,normal,,-4.432799999999999,-2.8924,-2.5593,-1.0239,0.0901999999999999,1.1013,1.7946,2.7008,2.9596
"brennan, michael","Brennan, Michael",sg_app_adj,sg_app,23,21.50671052205149,0.0934665425331836,1.2090728762583158,-0.6358166112184214,-0.5938271197166012,0.0,1.0,0.0,0.0934665425331836,1.2090728762583158,inf,normal,,-2.5206500000000003,-2.5206500000000003,-1.9250000000000003,-0.8240000000000001,0.4453999999999999,0.9193499999999999,1.43935,1.8147,1.8147
"brennan, michael","Brennan, Michael",sg_arg_adj,sg_arg,23,21.50671052205149,-0.4209293693589057,0.9043506598748886,0.4130947373640422,0.3873024532248075,0.0,1.0,0.0,-0.4209293693589057,0.9043506598748886,19.49176864241894,student_t,,-1.9902000000000002,-1.9617,-1.3878,-1.2446000000000002,-0.3354,-0.0928,0.8342999999999999,0.8642,2.1012
"brennan, michael","Brennan, Michael",sg_ott_adj,sg_ott,23,21.50671052205149,1.0245440030923276,0.7677572137218418,-0.7694772847441695,0.0314363859397301,0.0,1.0,0.0,1.0245440030923276,0.7677572137218418,194.8616343972622,student_t,,-0.952,-0.30600000000000005,-0.2350000000000001,0.543,1.092,1.611,1.945,1.969,2.102
"brennan, michael","Brennan, Michael",sg_putt_adj,sg_putt,23,21.50671052205149,-0.8035630618011294,1.7180857408109025,-0.4474039688015286,-0.3673995241762746,0.0,1.0,0.0,-0.8035630618011294,1.7180857408109025,inf,normal,,-5.0891,-3.918,-3.2852999999999994,-1.88865,-1.2098,0.25639999999999996,1.5197,1.6104,1.6683999999999999
"bridgeman, jacob","Bridgeman, Jacob",sg_app_adj,sg_app,185,49.93897228544291,0.4387786653093068,1.828124433823034,0.6782692426111548,2.1366521165103727,0.0,1.0,0.0,0.4387786653093068,1.828124433823034,6.808131447153565,student_t,df_t<8,-4.7064,-1.6004999999999998,-1.2004,-0.7954000000000001,0.16619999999999996,1.3637,2.6223,3.1803000000000003,6.2836
"bridgeman, jacob","Bridgeman, Jacob",sg_arg_adj,sg_arg,185,49.93897228544291,0.042957831866292,1.078753612191685,0.6333861325696996,0.2387086527971664,0.0,1.0,0.0,0.042957831866292,1.078753612191685,29.13524302404853,student_t,,-1.8962,-1.438,-1.2962,-0.7101999999999999,-0.1176,0.5396000000000001,1.8068,1.8928,2.7238
