player_name,simulated_win_prob
"scheffler, scottie",0.14443
"mcilroy, rory",0.06418
"hovland, viktor",0.04127
"matsuyama, hideki",0.03564
"morikawa, collin",0.03519
"young, cameron",0.03511
"burns, sam",0.03332
"fitzpatrick, matt",0.0333
"schauffele, xander",0.03268
"henley, russell",0.03203
"cantlay, patrick",0.03163
"kim, si woo",0.02397
"thomas, justin",0.02176
"fleetwood, tommy",0.02153
"gotterup, chris",0.02
"gerard, ryan",0.01944
"poston, j.t.",0.01612
"aberg, ludvig",0.01577
"koivun, jackson",0.01526
"macintyre, robert",0.01411
"conners, corey",0.01403
"fowler, rickie",0.01301
"mcnealy, maverick",0.01279
"spaun, j.j.",0.01089
"griffin, ben",0.01071
"brennan, michael",0.01039
"bhatia, akshay",0.0103
"clark, wyndham",0.01025
"kitayama, kurt",0.0101
"rai, aaron",0.00849
"english, harris",0.00845
"thorbjornsen, michael",0.00842
"bridgeman, jacob",0.00835
"knapp, jake",0.00825
"theegala, sahith",0.0081
"noren, alex",0.00797
"kim, tom",0.00792
"rose, justin",0.00788
"mitchell, keith",0.00785
"hojgaard, nicolai",0.00785
"lee, min woo",0.00784
"kim, michael",0.00729
"cole, eric",0.00725
"lowry, shane",0.00711
"im, sungjae",0.00661
"smalley, alex",0.00653
"reitan, kristoffer",0.00624
"scott, adam",0.0054
"fitzpatrick, alex",0.00513
"hall, harry",0.0051
"echavarria, nicolas",0.00439
"taylor, nick",0.00436
"smith, jordan",0.00417
"fox, ryan",0.00394
"woodland, gary",0.00389
"schmid, matthias",0.00354
"cauley, bud",0.00336
"harman, brian",0.00324
"coody, pierceson",0.00324
"spieth, jordan",0.0032
"mccarty, matt",0.00314
"castillo, ricky",0.00309
"potgieter, aldrich",0.00293
"yellamaraju, sudarshan",0.00253
"straka, sepp",0.00214
"hisatsune, ryo",0.0017
"stevens, samuel",0.00167
"homa, max",0.00152
"rodgers, patrick",0.00071
