player_name,simulated_win_prob,top_5,top_10,top_20,top_5_nodh,top_10_nodh,top_20_nodh
"hossler, beau",0.18246390476190474,0.7079303690476191,0.9133968986291486,0.9878749775779776,0.7723,0.94087,0.99282
"theegala, sahith",0.0031820238095238086,0.06786489754689755,0.2420598283938284,0.5670905505409622,0.09399,0.3016,0.63648
"james, ben",0.0010955238095238095,0.03577676226551227,0.16001315581640582,0.470653110045742,0.05292,0.20986,0.54634
"cole, eric",0.00017366666666666667,0.008128464285714286,0.04813537698412699,0.20160498571174268,0.01276,0.06784,0.25323
"schmid, matthias",0.0,0.0004795039682539682,0.004732715728715729,0.03512532249368279,0.00087,0.00733,0.0494
"mccarthy, denny",6.583333333333333e-05,0.0059877063492063485,0.05613573520923521,0.30849884780660514,0.01043,0.08556,0.3916
"thompson, davis",0.053482476190476184,0.43284205339105336,0.7529143724053724,0.9455736426016793,0.51019,0.81261,0.96453
"springer, hayden",2.5e-05,0.001655964285714286,0.015615660894660896,0.10426601876718054,0.00292,0.02387,0.14153
"ghim, doug",4.9500000000000004e-05,0.003826623015873016,0.03780118204018204,0.23000422375719398,0.00679,0.05837,0.29812
"bauchou, zach",0.0010277619047619046,0.028844170995670992,0.13481637659562662,0.41957903193375257,0.04271,0.17804,0.49383
"smith, jordan",0.008796595238095239,0.14754047041847043,0.42880047868797877,0.7803699169406445,0.19505,0.50816,0.83578
"hoge, tom",3.3333333333333333e-06,0.00014299999999999998,0.002608738455988456,0.032730684218559215,0.00029,0.00458,0.04946
"yu, kevin",0.015895392857142858,0.21898167676767677,0.5389393096348096,0.8487096858696858,0.28,0.61712,0.89142
"cauley, bud",3.283333333333333e-05,0.002023246031746032,0.019960522338772338,0.12941307214354272,0.00365,0.03113,0.17339
"horschel, billy",0.0010618333333333335,0.03113661904761905,0.1463218558108558,0.44479104382274937,0.04566,0.19396,0.51906
"kim, tom",0.21089266666666667,0.7540058888888889,0.9360931969696971,0.9927467833832835,0.8135,0.95837,0.99612
"mitchell, keith",0.0,8.142857142857142e-05,0.0008516562049062049,0.012734380674880674,0.00013,0.00147,0.01991
"greyserman, max",0.0,0.0,2.675e-05,0.0004812203352203352,0.0,5e-05,0.0009
"campos, rafael",6.25e-06,0.000879765873015873,0.00886108585858586,0.06786312795756874,0.00156,0.01408,0.09503
"snedeker, brandt",0.000147,0.005045654761904762,0.03384996608946609,0.16598821739371739,0.00815,0.04938,0.21291
"matsuyama, hideki",0.008180119047619045,0.13752003643578645,0.3969719456376956,0.7354156581816876,0.18287,0.47078,0.79264
"smotherman, austin",8.333333333333332e-06,0.0008813690476190476,0.01045984126984127,0.08018513509014205,0.00158,0.01676,0.11167
"hoey, rico",0.00015399999999999998,0.008763215728715728,0.0626441436896437,0.2841489895055925,0.01425,0.09057,0.35455
"brennan, michael",0.29828188095238095,0.7659594538239538,0.9225309202741702,0.9849341784881785,0.81506,0.94415,0.99033
"pendrith, taylor",0.0,0.0,7.142857142857143e-06,0.0005172231657231657,0.0,1e-05,0.00096
"fitzpatrick, alex",0.0,7.701190476190476e-05,0.0011720082972582972,0.016394656379568145,0.00018,0.00207,0.02498
"thomas, justin",0.0008748333333333334,0.02761673015873016,0.13569353388278388,0.4351537300469138,0.04093,0.18078,0.51199
"mccarty, matt",0.0,0.00025126984126984126,0.003030363636363636,0.030389336582277375,0.00049,0.00501,0.04453
"kohles, ben",0.00025499999999999996,0.014857920634920635,0.09487046955821955,0.378174422011554,0.02391,0.13271,0.45847
"parry, john",1.0833333333333332e-05,0.0008850793650793651,0.012209209595959596,0.09598622623674055,0.00171,0.01944,0.13267
"ramey, chad",0.0,0.00018526190476190476,0.002992389971139971,0.03764089170117808,0.00037,0.00523,0.05632
"noren, alex",0.08812794047619046,0.4980500854978355,0.7774777892940392,0.9436275198200493,0.56941,0.82846,0.96124
"skinns, david",0.0010303571428571428,0.03062533766233766,0.14572176476301477,0.44800448086283345,0.04583,0.19351,0.5227
"hodges, lee",1.125e-05,0.00034602777777777773,0.003913794844044844,0.04148081192418693,0.00058,0.00673,0.06125
"malnati, peter",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"eckroat, austin",3.6666666666666666e-05,0.002619218253968254,0.024081742784992786,0.1468667734765235,0.00467,0.03681,0.19506
"highsmith, joe",0.0,0.0005101785714285714,0.006191518037518037,0.054959516428016435,0.00096,0.01028,0.0785
"mcnealy, maverick",0.0,1.069047619047619e-05,0.000549024531024531,0.01062438055000555,4e-05,0.00115,0.01677
