player_name,bookmaker,american_odds,implied_prob,simulated_win_prob,my_fair,edge,kelly,my_pred,sample
"bridgeman, jacob",betcris,2051,0.04649000464900046,0.058899928571428554,1598,1.2409923922428097,32.537477275893245,1.0388034137985551,63.0
"penge, marco",draftkings,5200,0.018867924528301886,0.022178523809523808,4409,0.33105992812219215,8.435661630036625,0.5538578790346839,47.0
"koivun, jackson",draftkings,3900,0.025,0.027009023809523806,3602,0.20090238095238044,5.151343101343089,1.2422691792248564,27.0
"castillo, ricky",betcris,1851,0.05125576627370579,0.05276542857142857,1795,0.1509662297722779,3.978053947673059,-0.0653314994206355,51.0
"james, ben",draftkings,13000,0.007633587786259542,0.009082666666666666,10910,0.14490788804071242,3.650564102564102,0.8309629800045752,31.0
"yu, kevin",draftkings,45000,0.0022172949002217295,0.002744833333333333,36332,0.052753843311160356,1.3217768518518513,0.568911672125881,47.0
"novak, andrew",draftkings,170000,0.0005878894767783657,0.0011035,90521,0.051561052322163445,1.2897845588235297,0.4967259281186873,53.0
"parry, john",draftkings,72500,0.0013774104683195593,0.0018126666666666669,55067,0.04352561983471076,1.0896413793103454,0.1313271264878545,51.0
"power, seamus",betcris,12056,0.008226390259953932,0.008571357142857143,11567,0.0344966882903211,0.8695706346573121,-0.4135103061348444,38.0
"suber, jackson",draftkings,47000,0.0021231422505307855,0.0024499999999999995,40716,0.032685774946921396,0.8188829787234027,0.4520128082760778,49.0
"keefer, johnny",draftkings,17000,0.005847953216374269,0.005991333333333333,16591,0.01433801169590642,0.3605588235294107,0.1709903483572697,57.0
"fisk, steven",draftkings,225000,0.000444247001332741,0.0004966666666666665,201242,0.005241966533392554,0.13110740740740712,0.009826435462781,45.0
"kim, michael",draftkings,450000,0.00022217285047767163,0.0002698333333333333,370499,0.004766048285566166,0.11917768518518507,0.372399207269125,65.0
"bauchou, zach",draftkings,500000,0.0001999600079984003,0.00023716666666666664,421544,0.0037206658668266328,0.09303524999999997,0.3554972262938586,43.0
