Player,Pred,66.5,67.5,68.5,69.5,70.5,71.5,72.5
"scheffler, scottie",2.61,-102,-181,-332,-634,-1250,-2763,-6580
"fleetwood, tommy",2.54,102,-181,-341,-664,-1380,-3101,-7441
"schauffele, xander",2.08,132,-137,-248,-459,-895,-1803,-3825
"young, cameron",2.04,138,-135,-249,-472,-934,-1964,-4342
"bridgeman, jacob",1.8,153,-112,-195,-343,-617,-1169,-2369
"fitzpatrick, matt",1.78,161,-115,-211,-399,-779,-1624,-3608
"mcnealy, maverick",1.77,156,-114,-200,-359,-663,-1278,-2650
"henley, russell",1.68,171,-106,-194,-359,-688,-1414,-3163
"lee, min woo",1.67,161,-109,-192,-337,-622,-1182,-2356
"macintyre, robert",1.65,169,-103,-181,-313,-570,-1088,-2238
"morikawa, collin",1.62,170,-103,-181,-319,-585,-1123,-2251
"hojgaard, nicolai",1.47,176,103,-163,-281,-484,-871,-1605
"kim, si woo",1.46,203,109,-170,-321,-624,-1300,-2921
"gotterup, chris",1.39,202,111,-164,-300,-559,-1096,-2297
"spaun, j.j.",1.36,214,113,-164,-306,-594,-1219,-2708
"cantlay, patrick",1.34,205,115,-155,-279,-530,-1039,-2175
"lowry, shane",1.31,198,114,-150,-258,-457,-844,-1636
"burns, sam",1.23,208,119,-145,-252,-443,-816,-1566
"english, harris",1.17,232,125,-146,-266,-495,-966,-1959
"fowler, rickie",1.16,237,128,-141,-260,-489,-981,-2045
"thomas, justin",1.13,220,124,-140,-244,-431,-792,-1498
"hovland, viktor",1.07,233,133,-131,-227,-403,-739,-1424
"conners, corey",1.05,245,134,-134,-238,-434,-823,-1661
"noren, alex",1.05,256,138,-133,-244,-454,-898,-1877
"spieth, jordan",1.04,234,133,-130,-227,-406,-748,-1468
"bhatia, akshay",1.0,229,134,-126,-212,-361,-630,-1160
"straka, sepp",0.95,252,140,-126,-221,-395,-738,-1451
"aberg, ludvig",0.94,250,140,-126,-221,-392,-724,-1409
"knapp, jake",0.94,238,135,-128,-219,-378,-666,-1206
"gerard, ryan",0.91,259,146,-120,-214,-381,-713,-1381
"day, jason",0.89,273,148,-122,-218,-402,-764,-1522
"taylor, nick",0.86,285,153,-120,-219,-410,-805,-1661
"stevens, samuel",0.83,298,156,-119,-220,-412,-817,-1661
"hisatsune, ryo",0.82,304,157,-118,-220,-419,-828,-1773
"smith, jordan",0.8,300,159,-114,-207,-386,-743,-1518
"poston, j.t.",0.76,291,158,-113,-202,-365,-691,-1376
"mccarty, matt",0.76,297,161,-113,-203,-373,-711,-1433
"griffin, ben",0.75,310,163,-113,-207,-388,-750,-1546
"hall, harry",0.71,306,164,-111,-200,-366,-698,-1418
"homa, max",0.57,338,180,-101,-181,-331,-621,-1224
"thorbjornsen, michael",0.54,297,169,-101,-172,-295,-510,-916
"im, sungjae",0.51,282,169,103,-159,-262,-438,-764
"castillo, ricky",0.51,361,189,103,-178,-329,-625,-1256
"penge, marco",0.5,285,168,101,-162,-267,-448,-767
"kitayama, kurt",0.47,299,172,101,-165,-278,-475,-826
"bradley, keegan",0.46,283,168,102,-160,-261,-434,-742
"theegala, sahith",0.46,318,180,105,-162,-279,-488,-891
"harman, brian",0.42,365,196,109,-164,-295,-545,-1065
"cauley, bud",0.41,378,201,111,-163,-294,-555,-1090
"kim, michael",0.41,316,181,106,-158,-267,-464,-828
"putnam, andrew",0.4,419,214,112,-170,-327,-666,-1425
"clark, wyndham",0.38,359,193,109,-162,-289,-522,-969
"berger, daniel",0.37,374,202,113,-157,-283,-515,-991
"woodland, gary",0.36,343,191,111,-155,-270,-479,-880
"mccarthy, denny",0.22,421,223,122,-146,-263,-486,-946
"brennan, michael",0.2,444,225,121,-151,-275,-512,-977
"keefer, johnny",0.19,385,213,123,-141,-248,-447,-832
"fox, ryan",0.17,464,240,128,-144,-270,-518,-1084
"coody, pierceson",0.15,383,214,124,-139,-238,-415,-749
"yellamaraju, sudarshan",0.15,527,250,128,-150,-285,-555,-1159
"smotherman, austin",0.11,454,236,129,-139,-251,-465,-888
"lipsky, david",0.07,377,216,129,-130,-218,-369,-646
"blanchet, chandler",0.04,433,239,135,-129,-225,-405,-755
"pendrith, taylor",0.04,432,237,134,-129,-229,-413,-764
"mouw, william",0.03,474,249,134,-134,-239,-437,-824
"wallace, matt",0.02,459,243,135,-132,-233,-422,-798
"novak, andrew",-0.0,493,256,139,-131,-238,-442,-857
"rodgers, patrick",-0.02,465,246,137,-129,-227,-414,-770
"valimaki, sami",-0.03,466,250,139,-127,-224,-407,-766
"horschel, billy",-0.08,456,252,144,-119,-204,-361,-657
"echavarria, nicolas",-0.12,428,241,140,-121,-205,-350,-614
"schenk, adam",-0.3,510,281,161,-107,-185,-324,-573
"hoge, tom",-0.38,599,314,172,-104,-183,-327,-601
"vegas, jhonattan",-0.39,578,307,170,-104,-183,-326,-604
"higgo, garrick",-0.41,523,288,166,-102,-173,-294,-512
"fisk, steven",-0.45,704,347,181,-102,-187,-346,-656
"glover, lucas",-0.49,715,357,189,104,-173,-320,-608
