player_name,pred_base,boost,override,override_adj,dg_pred,dg_adj,sheet_boost,max,max_50,lt_form,int_form,sg_6m,sma_6m,skill,sg_adj,putting,driving,majors,links,skill_v2_delta,age,dsle_,c_adj,exp,c_hist,pred,std_dev,sample
"knapp, jake",0.89,0.0,,0.0,1.06,0.04,0.0,,0.15,-0.1,,0.26,-0.04,0.47,0.12,0.0,0.06,-0.0,0.0,0.0,-0.01,0.0,0.03,-0.05,0.0,0.93,2.9,39.0
"lee, min woo",0.84,0.0,,0.0,1.24,0.1,0.0,,0.15,-0.07,,0.25,-0.05,0.49,0.02,0.0,0.03,0.0,-0.0,0.0,0.03,0.0,0.03,-0.05,0.0,0.94,2.71,55.0
"macintyre, robert",1.05,0.0,,0.0,0.9,0.0,0.0,,0.2,-0.08,,0.31,-0.05,0.75,-0.01,-0.02,0.01,0.0,0.0,0.0,0.01,-0.03,0.01,-0.05,0.0,1.05,3.01,56.0
"matsuyama, hideki",1.4,0.0,,0.0,1.49,0.0,0.0,,0.24,-0.08,,0.3,-0.05,0.78,0.2,-0.01,0.11,0.0,-0.0,0.0,-0.04,0.0,-0.01,-0.05,0.0,1.4,2.42,69.0
"mccarty, matt",0.13,0.0,,0.0,0.06,-0.03,0.0,-0.02,,0.0,0.09,,0.01,0.18,-0.02,-0.03,-0.04,-0.0,0.0,0.0,-0.01,0.0,-0.01,-0.02,0.0,0.1,3.05,63.0
"mcilroy, rory",1.72,0.0,,0.0,1.87,0.0,0.0,,0.34,-0.13,,0.49,-0.08,0.93,0.02,-0.01,0.22,0.0,0.0,0.0,-0.07,0.0,0.06,-0.05,0.0,1.72,3.05,43.0
"mcnealy, maverick",0.99,0.0,,0.0,1.16,0.04,0.0,,0.18,-0.08,,0.29,-0.04,0.52,0.12,-0.02,0.05,-0.0,0.0,0.0,0.0,0.0,0.02,-0.05,0.0,1.03,2.8,61.0
"morikawa, collin",1.36,0.0,,0.0,1.35,0.0,0.0,,0.28,-0.13,,0.38,-0.07,0.81,0.09,-0.02,0.08,0.0,-0.0,0.0,0.02,0.0,-0.01,-0.05,0.0,1.36,2.46,45.0
"noren, alex",0.82,0.0,,0.0,0.83,0.0,0.0,,0.18,-0.07,,0.26,-0.04,0.54,0.19,-0.02,0.03,0.0,0.0,0.0,-0.18,0.0,-0.03,-0.05,0.0,0.82,2.41,63.0
"poston, j.t.",0.52,0.0,,0.0,0.48,-0.01,0.0,,0.16,-0.06,,0.15,-0.02,0.28,0.06,-0.01,0.04,-0.0,-0.0,0.0,-0.02,0.0,-0.01,-0.05,0.0,0.51,2.96,57.0
"rai, aaron",0.56,0.0,,0.0,0.53,-0.01,0.0,,0.15,-0.07,,0.19,-0.04,0.43,-0.03,0.0,0.01,0.0,-0.0,0.0,-0.0,0.0,-0.03,-0.05,0.0,0.55,2.99,51.0
"reitan, kristoffer",0.61,0.0,,0.0,0.78,0.04,0.0,,0.09,-0.06,,0.16,-0.03,0.33,0.03,-0.01,0.11,0.0,0.0,0.0,0.03,0.0,0.02,-0.05,0.0,0.65,2.83,57.0
"rose, justin",0.8,0.0,,0.0,0.85,0.01,0.0,,0.31,-0.08,,0.25,-0.04,0.48,0.1,-0.01,0.06,0.0,0.0,0.0,-0.22,0.0,0.01,-0.05,0.0,0.81,2.83,45.0
"schauffele, xander",1.63,0.0,,0.0,1.91,0.0,0.0,,0.35,-0.13,,0.4,-0.07,0.78,0.2,-0.0,0.14,0.0,0.0,0.0,-0.02,0.0,0.02,-0.05,0.0,1.63,2.48,59.0
"scheffler, scottie",2.72,0.0,,0.0,2.92,0.0,0.0,,0.45,-0.22,,0.7,-0.11,1.45,0.36,-0.03,0.16,0.0,0.0,0.0,0.01,0.0,0.01,-0.05,0.0,2.72,2.41,59.0
"scott, adam",0.72,0.0,,0.0,0.92,0.05,0.0,,0.24,-0.08,,0.25,-0.05,0.44,0.13,-0.02,0.06,-0.0,0.0,0.0,-0.22,0.0,0.01,-0.05,0.0,0.77,2.93,53.0
"smalley, alex",0.67,0.0,,0.0,0.87,0.05,0.0,,0.11,-0.08,,0.18,-0.04,0.42,0.12,-0.01,0.02,0.0,0.0,0.0,0.01,0.0,-0.01,-0.05,0.0,0.72,2.85,59.0
"spaun, j.j.",0.97,0.0,,0.0,1.12,0.04,0.0,,0.19,-0.11,,0.3,-0.05,0.61,0.07,-0.0,0.08,0.0,-0.0,0.0,-0.05,0.0,-0.0,-0.05,0.0,1.0,2.41,61.0
"straka, sepp",0.04,0.0,,0.0,0.26,0.11,0.0,-0.03,,0.0,0.08,,0.0,0.06,-0.01,0.01,-0.0,-0.0,0.0,0.0,-0.05,0.0,-0.01,-0.02,0.0,0.15,3.2,59.0
"theegala, sahith",0.04,0.0,,0.0,0.24,0.1,0.0,-0.03,,0.0,0.14,,0.01,0.21,-0.18,-0.01,-0.03,0.0,-0.0,0.0,-0.01,0.0,0.0,-0.05,0.0,0.14,3.18,71.0
"thomas, justin",1.05,0.0,,0.0,1.33,0.0,0.0,,0.3,-0.09,,0.26,-0.04,0.58,0.06,-0.0,0.05,-0.0,-0.0,0.0,-0.02,0.0,0.01,-0.05,0.0,1.05,2.86,63.0
"thorbjornsen, michael",0.85,0.0,,0.0,1.16,0.08,0.0,,0.09,-0.07,,0.15,-0.03,0.5,0.12,-0.0,0.08,-0.0,0.0,0.0,0.05,0.0,0.01,-0.05,0.0,0.93,3.2,55.0
"woodland, gary",0.48,0.0,,0.0,0.58,0.05,0.0,,0.24,-0.08,,0.16,-0.04,0.25,0.02,0.0,0.09,-0.0,-0.0,0.0,-0.15,0.0,0.02,-0.02,0.0,0.53,3.08,57.0
"young, cameron",1.44,0.0,,0.0,1.73,0.0,0.0,,0.25,-0.12,,0.4,-0.08,0.74,0.08,0.01,0.16,0.0,0.0,0.0,0.02,0.0,0.04,-0.05,0.0,1.44,3.03,61.0
