player_name,pred_base,boost,override,override_adj,dg_pred,dg_adj,sheet_boost,max,max_50,lt_form,int_form,sg_6m,sma_6m,skill,sg_adj,putting,driving,majors,links,skill_v2_delta,age,dsle_,c_adj,exp,c_hist,pred,std_dev,sample
"hojgaard, nicolai",0.63,0.0,,0.0,,0.0,0.0,,0.14,-0.06,,0.22,-0.04,0.45,-0.0,0.0,-0.01,0.0,0.0,0.0,0.05,0.0,-0.08,-0.05,0.0,0.63,2.59,59.0
"homa, max",0.5,0.0,,0.0,,0.0,0.0,,0.23,-0.03,,0.1,-0.01,0.28,-0.03,-0.02,0.04,-0.0,0.0,0.0,-0.05,-0.08,-0.05,0.17,-0.05,0.5,2.55,57.0
"hovland, viktor",1.47,0.0,,0.0,,0.0,0.0,,0.29,-0.09,,0.3,-0.05,0.76,0.12,-0.0,0.06,0.0,-0.0,0.0,0.02,-0.14,0.05,0.15,0.02,1.47,2.82,53.0
"im, sungjae",0.91,0.0,,0.0,,0.0,0.0,,0.22,-0.04,,0.1,-0.02,0.25,0.14,-0.0,0.07,-0.0,-0.0,0.0,0.03,0.08,0.01,0.06,0.03,0.91,2.88,69.0
"kim, michael",0.58,0.0,,0.0,,0.0,0.0,,0.11,-0.05,,0.12,-0.02,0.36,0.05,-0.01,-0.03,-0.0,-0.0,0.0,-0.02,0.07,0.01,0.01,-0.02,0.58,3.14,73.0
"kim, si woo",1.51,0.0,,0.0,,0.0,0.0,,0.2,-0.11,,0.34,-0.06,0.82,0.11,-0.0,0.05,-0.0,0.0,0.0,0.0,0.0,0.06,0.11,-0.01,1.51,2.6,67.0
"kim, tom",1.05,0.0,,0.0,,0.0,0.0,,0.2,-0.08,,0.12,-0.04,0.44,0.17,-0.01,0.02,0.0,0.0,0.0,0.05,0.07,0.07,0.05,-0.01,1.05,2.48,57.0
"kitayama, kurt",0.89,0.0,,0.0,,0.0,0.0,,0.15,-0.07,,0.24,-0.04,0.51,0.08,0.01,0.08,-0.0,0.0,0.0,-0.02,-0.06,-0.02,0.03,0.01,0.89,2.94,63.0
"knapp, jake",0.61,0.0,,0.0,,0.0,0.0,,0.15,-0.1,,0.26,-0.05,0.38,0.06,0.01,0.02,-0.0,0.0,0.0,-0.01,-0.02,-0.06,0.01,-0.05,0.61,2.9,39.0
"koivun, jackson",1.35,0.0,,0.0,,0.0,0.0,,0.15,-0.12,,0.32,-0.05,0.76,0.11,-0.0,0.11,0.0,0.0,0.0,0.01,0.07,0.06,-0.05,0.0,1.35,2.3,23.0
