player_name,pred_base,boost,override,override_adj,dg_pred,dg_adj,sheet_boost,max,max_50,lt_form,int_form,sg_6m,sma_6m,skill,sg_adj,putting,driving,majors,links,skill_v2_delta,age,dsle_,c_adj,exp,c_hist,pred,std_dev,sample
"schmid, matthias",-0.07,0.0,,0.0,,0.0,0.0,-0.01,,-0.0,0.0,,-0.0,0.05,-0.09,-0.0,-0.0,-0.0,-0.0,0.0,-0.01,0.01,-0.07,0.02,0.04,-0.07,2.72,57.0
"shipley, neal",-0.03,0.0,,0.0,,0.0,0.0,-0.01,,0.0,-0.06,,-0.01,-0.1,-0.01,0.04,0.08,-0.0,0.0,0.0,0.01,0.03,0.03,-0.02,0.0,-0.03,2.3,45.0
"simpson, webb",-0.37,0.0,,0.0,,0.0,0.0,-0.04,,0.0,-0.03,,-0.01,-0.07,-0.14,-0.02,-0.06,0.0,0.0,0.0,-0.14,0.01,-0.05,0.09,0.1,-0.37,2.7,20.0
"smalley, alex",0.54,0.0,,0.0,,0.0,0.0,,0.11,-0.07,,0.15,-0.03,0.31,0.02,-0.01,-0.02,0.0,0.0,0.0,0.01,-0.1,0.12,0.06,-0.01,0.54,2.82,59.0
"smith, jordan",0.74,0.0,,0.0,,0.0,0.0,,0.09,-0.05,,0.12,-0.02,0.29,0.09,-0.01,0.12,-0.0,0.0,0.0,-0.03,0.02,0.15,-0.05,0.0,0.74,2.55,57.0
"smotherman, austin",-0.29,0.0,,0.0,,0.0,0.0,-0.01,,0.0,0.02,,-0.0,-0.05,-0.33,0.04,-0.02,-0.0,0.0,0.0,-0.04,0.01,0.07,-0.0,0.02,-0.29,3.2,51.0
"snedeker, brandt",-0.24,0.0,,0.0,,0.0,0.0,-0.02,,-0.0,0.01,,0.0,-0.12,-0.06,-0.01,-0.08,-0.0,0.0,0.0,-0.21,0.03,0.18,0.06,-0.03,-0.24,2.89,43.0
"spieth, jordan",0.23,0.0,,0.0,,0.0,0.0,-0.04,,-0.0,0.16,,0.01,0.18,-0.01,0.01,0.0,0.0,0.0,0.0,-0.04,0.03,-0.06,0.02,-0.02,0.23,2.65,71.0
"stevens, samuel",-0.11,0.0,,0.0,,0.0,0.0,-0.02,,-0.0,0.08,,0.0,0.09,-0.15,0.02,0.01,0.0,-0.0,0.0,-0.02,0.01,-0.06,-0.0,-0.08,-0.11,2.47,67.0
"straka, sepp",-0.08,0.0,,0.0,,0.0,0.0,-0.03,,-0.0,0.13,,0.01,0.12,-0.16,0.01,-0.02,-0.0,0.0,0.0,-0.05,-0.13,0.05,0.02,-0.04,-0.08,3.16,61.0
"streelman, kevin",-0.54,0.0,,0.0,,0.0,0.0,-0.02,,0.0,-0.12,,-0.0,-0.15,-0.08,0.02,-0.0,0.0,-0.0,0.0,-0.24,0.01,0.06,0.03,-0.03,-0.54,2.3,37.0
"suber, jackson",0.26,0.0,,0.0,,0.0,0.0,-0.01,,-0.0,0.12,,0.01,0.19,0.03,-0.01,-0.0,0.0,0.0,0.0,0.01,0.03,-0.04,-0.02,-0.04,0.26,2.96,55.0
"svensson, adam",-0.82,0.0,,0.0,,0.0,0.0,-0.01,,0.0,-0.18,,-0.02,-0.43,-0.25,0.01,-0.06,-0.0,0.0,0.0,-0.04,0.03,0.06,0.04,0.03,-0.82,2.3,43.0
"svensson, jesper",-0.32,0.0,,0.0,,0.0,0.0,-0.01,,0.0,0.0,,-0.01,-0.05,-0.1,0.01,0.07,-0.0,0.0,0.0,-0.02,0.01,-0.17,-0.02,-0.04,-0.32,3.16,47.0
"taylor, nick",0.75,0.0,,0.0,,0.0,0.0,,0.13,-0.05,,0.2,-0.03,0.41,0.01,-0.03,-0.08,-0.0,0.0,0.0,-0.09,0.02,0.16,0.11,-0.0,0.75,2.62,73.0
"theegala, sahith",0.32,0.0,,0.0,,0.0,0.0,,0.18,-0.03,,0.14,-0.03,0.26,0.02,0.0,-0.01,0.0,-0.0,0.0,0.02,-0.1,-0.05,-0.04,-0.03,0.32,2.94,71.0
"thomas, justin",1.07,0.0,,0.0,,0.0,0.0,,0.31,-0.09,,0.25,-0.04,0.67,0.04,-0.01,0.02,-0.0,-0.0,0.0,-0.02,-0.1,0.04,-0.02,0.02,1.07,2.97,55.0
"thompson, davis",0.81,0.0,,0.0,,0.0,0.0,,0.13,-0.03,,0.09,-0.01,0.28,0.17,-0.01,0.08,-0.0,-0.0,0.0,0.04,0.02,-0.05,0.06,0.04,0.81,2.44,55.0
