player_name,pred_base,boost,override,override_adj,dg_pred,dg_adj,sheet_boost,max,max_50,lt_form,int_form,sg_6m,sma_6m,skill,sg_adj,putting,driving,majors,links,age,dsle_,c_adj,exp,c_hist,pred,decomp_residual,std_dev,sample
"snedeker, brandt",-0.02,0.0,,0.0,0.12,0.07,0.0,0.03,,-0.01,0.01,,0.02,0.07,0.12,-0.01,-0.08,-0.0,0.0,-0.18,-0.14,0.08,0.06,0.01,0.05,0.0,2.6,32.0
"spaun, j.j.",1.42,0.0,,0.0,1.48,0.0,0.0,,0.26,-0.03,,0.13,-0.01,0.82,0.09,0.01,0.07,0.0,-0.0,-0.04,0.0,0.07,0.1,-0.03,1.42,0.0,2.57,51.0
"spieth, jordan",0.95,0.0,,0.0,1.09,0.04,0.0,,0.27,-0.04,,0.1,-0.01,0.5,0.03,0.0,0.13,0.0,0.0,-0.0,0.03,-0.07,0.09,-0.09,0.98,0.0,2.52,61.0
"stevens, samuel",0.3,0.0,,0.0,0.79,0.24,0.0,0.02,,-0.01,0.06,,0.04,0.09,0.11,0.01,0.01,0.0,-0.0,0.03,0.03,-0.04,-0.0,-0.03,0.55,0.0,2.3,65.0
"straka, sepp",0.84,0.0,,0.0,0.87,0.01,0.0,,0.26,-0.03,,0.11,-0.01,0.44,-0.03,-0.01,-0.02,-0.0,0.0,-0.01,0.0,0.06,0.1,-0.03,0.85,0.0,3.2,54.0
"suber, jackson",0.34,0.0,,0.0,0.14,-0.1,0.0,0.0,,-0.0,-0.01,,-0.01,0.07,0.14,0.0,0.06,-0.0,0.0,0.05,0.0,0.07,-0.04,0.0,0.24,0.0,3.2,44.0
"taylor, nick",0.51,0.0,,0.0,0.64,0.03,0.0,,0.18,-0.02,,0.09,-0.01,0.35,-0.01,-0.01,-0.01,-0.0,0.0,-0.08,0.0,-0.03,0.07,-0.01,0.54,0.0,2.71,65.0
"theegala, sahith",0.58,0.0,,0.0,0.83,0.06,0.0,0.03,,-0.03,0.07,,0.06,0.21,0.17,0.0,0.02,0.0,-0.0,0.04,0.03,-0.13,0.04,0.07,0.64,0.0,2.96,71.0
"thomas, justin",1.53,0.0,,0.0,1.55,0.0,0.0,,0.45,-0.03,,0.1,-0.01,0.73,0.19,-0.02,0.05,-0.0,-0.0,-0.01,0.03,-0.1,0.11,0.04,1.53,0.0,3.13,43.0
"vegas, jhonattan",-0.38,0.0,,0.0,-0.37,0.0,0.0,0.02,,0.02,-0.05,,-0.05,-0.15,-0.14,0.01,0.04,-0.0,0.0,-0.12,-0.08,0.07,0.04,0.0,-0.37,0.0,2.89,48.0
"woodland, gary",1.1,0.0,,0.0,1.01,0.0,0.0,,0.34,-0.03,,0.06,-0.01,0.46,0.16,-0.01,0.18,0.0,-0.0,-0.14,0.03,0.05,0.02,-0.0,1.1,0.0,2.87,55.0
"young, cameron",1.4,0.0,,0.0,1.68,0.0,0.0,,0.35,-0.06,,0.17,-0.02,0.86,0.06,-0.0,0.1,0.0,0.0,0.04,0.03,-0.14,0.04,-0.0,1.4,0.0,2.67,53.0
