event_id,event_start,feature_scope,player_name,dg_id,source_player_name,source_player_id,app_shot_pooled_var50_raw,arg_shot_pooled_var50_raw,ott_shot_pooled_var50_raw,putt_shot_pooled_var50_raw,app_shot_pooled_var50_shrunk,arg_shot_pooled_var50_shrunk,ott_shot_pooled_var50_shrunk,putt_shot_pooled_var50_shrunk,app_shot_exp_n50,arg_shot_exp_n50,ott_shot_exp_n50,putt_shot_exp_n50,app_shot_indep_var50_raw,arg_shot_indep_var50_raw,ott_shot_indep_var50_raw,putt_shot_indep_var50_raw,app_shot_indep_var50_shrunk,arg_shot_indep_var50_shrunk,ott_shot_indep_var50_shrunk,putt_shot_indep_var50_shrunk,app_shot_history_neff50,arg_shot_history_neff50,ott_shot_history_neff50,putt_shot_history_neff50,app_shot_round_neff50,arg_shot_round_neff50,ott_shot_round_neff50,putt_shot_round_neff50,app_shot_history_rounds,arg_shot_history_rounds,ott_shot_history_rounds,putt_shot_history_rounds,app_shot_history_n,arg_shot_history_n,ott_shot_history_n,putt_shot_history_n,app_shot_variance_reliability,arg_shot_variance_reliability,ott_shot_variance_reliability,putt_shot_variance_reliability,app_shot_history_last_date,arg_shot_history_last_date,ott_shot_history_last_date,putt_shot_history_last_date,app_shot_history_last_event,arg_shot_history_last_event,ott_shot_history_last_event,putt_shot_history_last_event,app_shot_history_fallback,arg_shot_history_fallback,ott_shot_history_fallback,putt_shot_history_fallback
60,2026-08-27,pre_event_frozen_one_round_variance,"aberg, ludvig",23950,"aberg, ludvig",52955,0.16266300112432172,0.16261511500206902,0.05455571601491894,0.09435872257461246,0.16195045209873785,0.1615031399721234,0.054141859149646754,0.09451219775855328,19.28043824685708,6.978716726833358,14.141358545094599,28.85139219079206,3.136213948225929,1.1348448231008692,0.7714919408513282,2.7223805116222883,3.1224756907403006,1.1270846643595667,0.7656394425331653,2.7268084843457188,908.5919912589926,320.6346235085181,654.9393852521126,1384.6525448292243,49.98990946764729,49.9894976524387,49.98990946764729,49.99068529174947,230,229,230,232,4420,1648,3245,6685,0.9478401651005542,0.8650962515949326,0.9290719159036374,0.9651483558299813,2026-08-23,2026-08-23,2026-08-23,2026-08-23,pga:R2026028,pga:R2026028,pga:R2026028,pga:R2026028,0,0,0,0
60,2026-08-27,pre_event_frozen_one_round_variance,"bhatia, akshay",26096,"bhatia, akshay",56630,0.15498574641667728,0.13190088625386992,0.057334676945022436,0.1005213300999353,0.15468127143758592,0.1347673510968618,0.05672792668987772,0.10045878237867906,19.944893031075473,7.574273746586107,14.21546263547183,28.120836355501496,3.091174133622017,0.9990534199041273,0.8150389578288146,2.8267438739776276,3.085101412733401,1.0207648093099129,0.806413722247742,2.824984979743771,932.6129385564099,341.9723605130492,659.834148466558,1356.0754139549094,49.99928011282427,49.9992507298944,49.99928011282427,49.99943373394598,296,295,296,302,5756,2118,4189,8662,0.949115263968072,0.8724399854761304,0.9295610106839547,0.9644400296714075,2026-08-23,2026-08-23,2026-08-23,2026-08-23,pga:R2026028,pga:R2026028,pga:R2026028,pga:R2026028,0,0,0,0
60,2026-08-27,pre_event_frozen_one_round_variance,"bridgeman, jacob",29433,"bridgeman, jacob",60004,0.17563616528471374,0.1611489231261633,0.04393369851239897,0.10196113020428191,0.17428761560226044,0.16027790926402144,0.04427447007733983,0.1018470436667693,19.72233596946989,7.774599558951988,14.032758868504954,27.640620663660297,3.463955460134468,1.252868346662257,0.6165109974260896,2.8182689224146324,3.4373589102256026,1.2460965626738079,0.6212929626261477,2.815115499708416,937.5068116890247,339.0028247613416,652.396841650196,1351.8903699041873,49.991738640075646,49.99140147070547,49.991738640075646,49.9923738365308,235,234,235,237,4623,1750,3309,6700,0.9493674378666003,0.8714662289903019,0.9288151696660095,0.9643338729807972,2026-08-23,2026-08-23,2026-08-23,2026-08-23,pga:R2026028,pga:R2026028,pga:R2026028,pga:R2026028,0,0,0,0
60,2026-08-27,pre_event_frozen_one_round_variance,"burns, sam",19483,"burns, sam",47504,0.15890544365663162,0.13592487391071978,0.061217210037601284,0.09605878687196981,0.15840910662594573,0.13862026748655404,0.060327187626730734,0.09615370476769126,19.957407491314935,6.386770431588052,14.093020812419372,28.564922720994122,3.171340691643583,0.8681209656103193,0.862735415138163,2.7439118236702624,3.161435091269156,0.8853358256019499,0.8501923107782446,2.7466231460263852,947.640484803894,292.2044247127124,652.0258115863719,1374.1818922921932,49.999999096780094,49.99999875609768,49.999999096780094,49.99999916623184,463,455,463,465,9050,3064,6545,13493,0.9498817452162354,0.8538885052641385,0.9287775475277544,0.9648921248959809,2026-08-23,2026-08-23,2026-08-23,2026-08-23,pga:R2026028,pga:R2026028,pga:R2026028,pga:R2026028,0,0,0,0
60,2026-08-27,pre_event_frozen_one_round_variance,"cantlay, patrick",15466,"cantlay, patrick",35450,0.14840966251788243,0.13430653351819802,0.04472044033376712,0.09983904173415423,0.14844042699812632,0.1370852229695428,0.04500601711324639,0.09980169032226764,19.2657371129776,6.870751271452432,14.032992432748538,28.574471733861973,2.859221543095248,0.9227867859345278,0.6275616007929364,2.8528478759684557,2.8598142434840446,0.9418784700153264,0.6315690975783377,2.8517805791052826,912.9007473234307,311.06684290798677,650.4063153697928,1391.2412288910305,49.999968224826404,49.99996118868288,49.999968224826404,49.9999718183992,374,369,374,377,7077,2517,5290,10987,0.948073568185522,0.8615214856138372,0.9286128652714938,0.9653076813251639,2026-08-23,2026-08-23,2026-08-23,2026-08-23,pga:R2026028,pga:R2026028,pga:R2026028,pga:R2026028,0,0,0,0
60,2026-08-27,pre_event_frozen_one_round_variance,"clark, wyndham",23604,"clark, wyndham",51766,0.16430747453019068,0.14306723172939298,0.055998457961204944,0.098691953569496,0.16352280618185921,0.14457884859278586,0.05548086450550589,0.09869450336833821,19.490619699047183,7.186100975647971,14.024753802191759,27.49440392183131,3.2024544997788276,1.0280955735138453,0.7853645862082844,2.7134764352743446,3.1871608274116197,1.0389582049306787,0.7781054654224796,2.7135465404736316,925.275046106861,323.94245244810963,653.0249271799411,1331.2907145383413,49.99999880487817,49.99999875609768,49.99999880487817,49.99999889677528,456,455,456,458,8879,3160,6487,13340,0.9487324112314861,0.8662895863450051,0.9288787665032504,0.9638019719717648,2026-08-23,2026-08-23,2026-08-23,2026-08-23,pga:R2026028,pga:R2026028,pga:R2026028,pga:R2026028,0,0,0,0
60,2026-08-27,pre_event_frozen_one_round_variance,"fitzpatrick, alex",25362,"fitzpatrick, alex",55721,0.1579200105048387,0.1429223902368312,0.03425026181690872,0.10508263431007639,0.15731101312749582,0.1448857440579826,0.03558480823113401,0.10480350562626116,19.101320897579804,7.24092685791783,13.987997411008786,29.419532891563357,3.0164807968020977,1.0348905740636842,0.47909257362129226,3.0914820164174164,3.004848142471687,1.049107075478855,0.4977602054083467,3.0832701809229355,682.1776331376778,241.59277636029472,492.15327245338256,1082.1374043146916,38.082508014447995,38.082508014447995,38.082508014447995,38.082508014447995,50,50,50,50,947,378,695,1467,0.9317105607477659,0.8285279881617523,0.9077751578004184,0.9558357494333772,2026-08-23,2026-08-23,2026-08-23,2026-08-23,pga:R2026028,pga:R2026028,pga:R2026028,pga:R2026028,0,0,0,0
60,2026-08-27,pre_event_frozen_one_round_variance,"fitzpatrick, matt",17646,"fitzpatrick, matt",40098,0.1297420409638486,0.16243033322207878,0.04320985369842051,0.09230072043586,0.13074566471641993,0.16124343358125293,0.04360283541002466,0.09252441693758917,19.371499200567733,6.76216203629125,13.969209248550936,28.612675179198796,2.513297842811219,1.0983802328564785,0.6036074879125086,2.6409705326372985,2.5327395395318257,1.0903542251643983,0.6090971316727607,2.6473710879799985,909.5271298156064,289.4536013970873,651.1754071526273,1394.2946923579095,49.99996692788098,49.99996271069474,49.99996692788098,49.999968224826404,373,370,373,374,7192,2572,5249,10937,0.9478909991741363,0.8527044644858228,0.9286911670176186,0.9653810262790818,2026-08-23,2026-08-23,2026-08-23,2026-08-23,pga:R2026028,pga:R2026028,pga:R2026028,pga:R2026028,0,0,0,0
60,2026-08-27,pre_event_frozen_one_round_variance,"fleetwood, tommy",12294,"fleetwood, tommy",30911,0.14129271280138977,0.15622341815657992,0.037207076489771354,0.08984750035139936,0.14169687223206104,0.1559804603085361,0.03803018307303882,0.09016233118413858,19.22416449338354,7.107179755017453,14.001631548416265,28.670950694637387,2.716234352610315,1.110307914782071,0.5209597760035197,2.5760132526113866,2.724003979987092,1.1085811696831311,0.5324846111075066,2.585039751894004,903.7588327513475,330.9368787445494,649.4087810411455,1365.8228102732633,49.999890179208066,49.999881031297924,49.999890179208066,49.99989448590125,343,341,343,344,6588,2390,4819,10030,0.9475758459234784,0.8687446587876065,0.9285110491098358,0.9646848464107245,2026-08-23,2026-08-23,2026-08-23,2026-08-23,pga:R2026028,pga:R2026028,pga:R2026028,pga:R2026028,0,0,0,0
60,2026-08-27,pre_event_frozen_one_round_variance,"fox, ryan",11889,"fox, ryan",29936,0.16539109135138766,0.14107248167514083,0.05266047911428295,0.10220282946054175,0.1645405074407006,0.1426968225284979,0.05237934219965194,0.10208291528344801,19.31585217967558,8.114506244075917,14.027205168878028,28.743971286477606,3.194669872378624,1.1447335334202158,0.7386793448274632,2.9377151954105796,3.1782401192933825,1.1579142574172894,0.7347357796453887,2.9342683857473557,913.3950164840109,359.39388946432086,650.6627337220509,1384.5408129110226,49.988158605262264,49.98717235988399,49.988158605262264,49.98862292085178,226,224,226,227,4397,1711,3164,6582,0.9481002090061882,0.8778682308487227,0.9286389904963396,0.9651456413439098,2026-08-23,2026-08-23,2026-08-23,2026-08-23,pga:R2026028,pga:R2026028,pga:R2026028,pga:R2026028,0,0,0,0
