player_name,pred_base,boost,override,override_adj,dg_pred,dg_adj,sheet_boost,max,max_50,lt_form,int_form,sg_6m,sma_6m,skill,sg_adj,putting,driving,majors,links,age,dsle_,c_adj,exp,c_hist,pred,decomp_residual,std_dev,sample
"van driel, darius",-1.1,0.0,,0.0,,0.0,0.0,-0.01,,0.01,-0.1,,-0.03,-0.35,-0.27,0.04,-0.21,0.0,-0.01,-0.05,0.06,-0.1,-0.01,-0.06,-1.1,0.0,2.61,57.0
"van rooyen, erik",-0.01,0.0,,0.0,,0.0,0.0,0.02,,0.01,-0.06,,-0.03,-0.14,0.12,-0.02,-0.05,-0.0,0.03,-0.04,0.06,0.06,0.03,0.0,-0.01,0.0,2.32,46.0
"veerman, johannes",-1.34,0.0,,0.0,,0.0,0.0,0.01,,0.03,-0.16,,-0.07,-0.64,-0.41,0.04,-0.21,0.0,0.04,-0.01,0.03,0.08,-0.01,-0.06,-1.34,0.0,2.89,35.0
"von dellingshausen, nicolai",-0.89,0.0,,0.0,,0.0,0.0,-0.01,,0.04,-0.25,,-0.07,-0.54,0.0,0.04,-0.21,0.0,0.03,-0.01,0.06,0.06,-0.01,-0.02,-0.89,0.0,2.9,39.0
"wallace, matt",0.62,0.0,,0.0,,0.0,0.0,,0.15,-0.02,,0.04,-0.0,0.32,0.1,-0.01,0.01,0.0,0.04,-0.05,0.06,-0.06,0.04,-0.0,0.62,0.0,2.4,58.0
"waring, paul",-0.33,0.0,,0.0,,0.0,0.0,0.02,,0.02,-0.09,,-0.01,-0.22,-0.09,-0.02,0.03,-0.0,-0.05,-0.11,0.06,0.13,-0.02,0.03,-0.33,0.0,2.54,43.0
"wiesberger, bernd",-0.29,0.0,,0.0,,0.0,0.0,0.02,,0.0,-0.03,,-0.0,-0.1,0.14,0.0,-0.03,-0.0,-0.06,-0.1,0.06,-0.12,-0.01,-0.05,-0.29,0.0,2.47,51.0
"willett, danny",-1.06,0.0,,0.0,,0.0,0.0,0.02,,0.03,-0.14,,-0.06,-0.36,-0.31,-0.0,-0.08,0.0,0.02,-0.07,0.02,0.04,-0.0,-0.17,-1.06,0.0,2.72,37.0
"wu, ashun",-0.55,0.0,,0.0,,0.0,0.0,0.0,,0.02,-0.16,,-0.05,-0.41,0.02,0.04,-0.21,0.0,0.11,-0.11,0.06,0.04,0.04,0.06,-0.55,0.0,2.31,36.0
"yellamaraju, sudarshan",0.41,0.0,,0.0,,0.0,0.0,0.01,,-0.03,0.06,,0.05,0.17,0.05,0.0,0.07,-0.0,0.0,0.06,0.03,-0.03,-0.04,0.0,0.41,0.0,2.44,64.0
"yu, kevin",0.37,0.0,,0.0,,0.0,0.0,0.02,,0.0,0.06,,-0.01,0.16,0.17,-0.0,0.07,-0.0,-0.08,0.04,0.06,-0.05,0.01,-0.07,0.37,0.0,2.62,44.0
