player_name,pred_base,boost,override,override_adj,dg_pred,dg_adj,sheet_boost,max,max_50,lt_form,int_form,sg_6m,sma_6m,skill,sg_adj,putting,driving,majors,links,age,dsle_,c_adj,exp,c_hist,pred,decomp_residual,std_dev,sample
"suber, jackson",0.11,0.0,,0.0,,0.0,0.0,0.0,,-0.0,-0.06,,-0.02,0.0,0.04,0.01,0.01,-0.0,0.0,0.05,0.01,-0.01,-0.01,0.09,0.11,0.0,3.2,38.0
"svensson, adam",-0.43,0.0,,0.0,,0.0,0.0,0.02,,0.01,-0.08,,-0.03,-0.22,-0.06,0.02,-0.03,-0.0,0.0,0.0,-0.02,0.04,-0.02,-0.06,-0.43,0.0,2.38,34.0
"svensson, jesper",-0.41,0.0,,0.0,,0.0,0.0,0.01,,0.02,-0.07,,-0.05,-0.28,0.0,0.01,0.05,0.0,0.0,0.03,-0.08,-0.09,-0.01,0.05,-0.41,0.0,2.97,34.0
"taylor, nick",0.84,0.0,,0.0,1.04,0.05,0.0,,0.18,-0.02,,0.09,-0.03,0.53,0.01,-0.01,0.02,-0.0,0.0,-0.08,0.1,0.04,-0.02,0.02,0.89,0.0,2.45,59.0
"theegala, sahith",0.44,0.0,,0.0,0.9,0.23,0.0,0.04,,-0.03,0.09,,0.06,0.17,0.04,0.0,-0.0,0.0,-0.0,0.04,0.09,-0.01,-0.04,0.0,0.67,0.0,2.92,63.0
"thompson, davis",0.34,0.0,,0.0,,0.0,0.0,0.03,,-0.01,0.07,,0.01,0.17,0.02,0.01,0.03,-0.0,-0.0,0.05,0.01,-0.01,-0.04,0.0,0.34,0.0,2.48,42.0
"thorbjornsen, michael",0.47,0.0,,0.0,,0.0,0.0,0.02,,-0.02,0.1,,0.03,0.2,0.07,0.01,0.06,-0.0,0.0,0.06,0.01,-0.04,-0.04,0.0,0.47,0.0,3.2,48.0
"tosti, alejandro",-1.17,0.0,,0.0,,0.0,0.0,0.02,,0.04,-0.26,,-0.14,-0.58,-0.23,0.02,0.01,-0.0,0.0,0.03,-0.02,-0.05,-0.02,-0.0,-1.17,0.0,2.58,28.0
"van rooyen, erik",-0.46,0.0,,0.0,,0.0,0.0,0.03,,0.02,-0.09,,-0.05,-0.17,-0.08,-0.01,-0.02,-0.0,0.0,-0.04,0.01,-0.02,-0.02,-0.01,-0.46,0.0,2.3,38.0
"vanderlaan, john",-0.54,0.0,,0.0,,0.0,0.0,0.01,,0.01,-0.08,,-0.03,-0.24,-0.17,0.01,-0.01,0.0,0.0,0.03,-0.02,-0.0,-0.04,0.0,-0.54,0.0,2.93,38.0
"vegas, jhonattan",-0.39,0.0,,0.0,-0.33,0.03,0.0,0.02,,0.02,-0.05,,-0.05,-0.12,-0.17,0.01,0.04,-0.0,0.0,-0.12,0.06,-0.0,-0.04,0.0,-0.36,0.0,2.93,46.0
"ventura, kristoffer",-0.28,0.0,,0.0,,0.0,0.0,0.02,,0.0,-0.01,,-0.01,-0.14,-0.14,0.0,0.05,0.0,0.0,0.02,-0.02,-0.02,-0.02,-0.0,-0.28,0.0,2.3,24.0
"vilips, karl",-0.47,0.0,,0.0,,0.0,0.0,0.0,,0.01,-0.05,,-0.02,-0.11,-0.19,-0.01,-0.06,-0.0,0.0,0.06,-0.02,-0.03,-0.02,-0.04,-0.47,0.0,3.02,37.0
"villegas, camilo",-1.03,0.0,,0.0,,0.0,0.0,-0.0,,0.03,-0.19,,-0.06,-0.43,-0.09,0.0,-0.1,0.0,0.0,-0.16,-0.02,0.03,-0.03,-0.02,-1.03,0.0,2.76,36.0
"walker, danny",-0.67,0.0,,0.0,,0.0,0.0,0.0,,0.02,-0.1,,-0.04,-0.31,-0.14,0.02,-0.05,0.0,0.0,0.02,-0.02,-0.03,-0.02,-0.03,-0.67,0.0,2.95,44.0
"wallace, matt",0.27,0.0,,0.0,,0.0,0.0,,0.16,-0.01,,0.03,-0.01,0.27,0.09,-0.01,0.01,0.0,0.0,-0.05,-0.16,-0.0,-0.02,-0.03,0.27,0.0,2.3,48.0
"waring, paul",-0.33,0.0,,0.0,,0.0,0.0,0.02,,0.02,-0.09,,-0.02,-0.21,-0.08,-0.02,0.03,-0.0,-0.0,-0.11,0.09,-0.0,-0.01,0.06,-0.33,0.0,2.54,39.0
"weir, mike",-2.04,0.0,,0.0,,0.0,0.0,-0.03,,0.04,-0.28,,-0.11,-0.57,-0.28,0.03,-0.19,0.0,0.0,-0.4,-0.26,0.08,-0.02,-0.03,-2.04,0.0,2.7,3.0
"whaley, vince",-0.35,0.0,,0.0,,0.0,0.0,0.01,,-0.0,-0.0,,-0.03,-0.03,-0.16,-0.02,-0.08,0.0,0.0,0.02,-0.02,-0.01,-0.01,-0.02,-0.35,0.0,2.59,38.0
"willett, danny",-0.5,0.0,,0.0,,0.0,0.0,0.03,,0.04,-0.17,,-0.06,-0.4,0.04,-0.0,-0.09,0.0,0.0,-0.07,0.09,0.04,-0.01,0.09,-0.5,0.0,2.39,32.0
"wu, dylan",-0.65,0.0,,0.0,,0.0,0.0,0.01,,0.01,-0.09,,-0.03,-0.28,-0.23,0.02,-0.05,0.0,0.0,0.03,-0.02,0.01,-0.01,0.0,-0.65,0.0,2.35,33.0
"yellamaraju, sudarshan",0.37,0.0,,0.0,0.42,0.03,0.0,0.01,,-0.02,0.07,,0.05,0.12,-0.01,0.01,0.07,-0.0,0.0,0.06,0.09,-0.01,-0.02,-0.04,0.39,0.0,2.51,56.0
"yu, kevin",0.25,0.0,,0.0,,0.0,0.0,0.02,,0.0,0.02,,-0.02,0.09,0.02,0.0,0.03,-0.0,-0.0,0.04,0.01,-0.03,-0.01,0.09,0.25,0.0,2.62,36.0
"zhao, eric",-2.5,0.0,,0.0,,0.0,0.0,,,,,,,,,,,0.0,0.0,,-0.0,0.0,-0.04,0.0,-2.5,0.0,3.0,0.0
