,sg_ott,sg_app,sg_arg,sg_putt
sg_ott,1.0,0.08225045056518629,0.01639723249886621,0.004853469272844345
sg_app,0.08225045056518629,1.0,0.018888482927703815,0.0201860768109514
sg_arg,0.01639723249886621,0.018888482927703815,1.0,0.02007259246548417
sg_putt,0.004853469272844345,0.0201860768109514,0.02007259246548417,1.0
