player_name,pred_base,boost,override,override_adj,dg_pred,dg_adj,sheet_boost,max,max_50,lt_form,int_form,sg_6m,sma_6m,skill,sg_adj,putting,driving,majors,links,age,dsle_,c_adj,exp,c_hist,pred,decomp_residual,std_dev,sample
"duval, david",-3.03,0.0,,0.0,-3.03,0.0,0.0,,,,,,,,,,,0.0,0.0,,0.0,0.01,-0.02,0.0,-3.03,0.0,3.2,0.0
"echavarria, nicolas",0.36,0.0,,0.0,0.2,-0.08,0.0,0.02,,-0.0,0.05,,0.0,0.14,0.11,-0.01,0.01,-0.02,0.01,0.01,0.08,0.0,-0.04,0.0,0.28,0.0,3.2,64.0
"english, harris",1.26,0.0,,0.0,1.15,0.0,0.0,,0.28,-0.03,,0.13,-0.02,0.63,0.07,-0.02,0.05,0.08,0.13,-0.06,0.06,0.01,-0.04,0.0,1.26,0.0,2.3,63.0
"fitzpatrick, alex",0.93,0.0,,0.0,1.29,0.09,0.0,,0.09,-0.04,,0.04,-0.02,0.46,0.13,0.0,0.09,0.02,0.1,0.05,0.06,-0.01,-0.04,0.0,1.02,0.0,2.58,57.0
"fitzpatrick, matt",1.98,0.0,,0.0,2.2,0.0,0.0,,0.33,-0.05,,0.19,-0.04,0.99,0.25,-0.01,0.02,0.07,0.17,0.01,0.09,-0.01,-0.02,0.0,1.98,0.0,2.45,65.0
"fleetwood, tommy",2.21,0.0,,0.0,2.26,0.0,0.0,,0.38,-0.04,,0.21,-0.03,0.99,0.19,-0.02,0.11,0.04,0.35,-0.04,0.09,-0.0,-0.02,0.0,2.21,0.0,2.67,67.0
"fowler, rickie",0.83,0.0,,0.0,0.88,0.01,0.0,,0.38,-0.03,,0.13,-0.02,0.32,0.08,0.0,0.05,0.04,-0.04,-0.07,-0.0,0.0,-0.02,0.0,0.85,0.0,2.95,59.0
"fox, ryan",0.62,0.0,,0.0,0.62,0.0,0.0,,0.13,-0.02,,0.06,-0.01,0.29,0.06,-0.02,-0.02,0.06,0.16,-0.1,0.08,-0.0,-0.02,0.0,0.62,0.0,2.34,65.0
"gerard, ryan",0.94,0.0,,0.0,0.9,-0.01,0.0,,0.17,-0.03,,0.1,-0.03,0.55,0.11,-0.04,0.04,0.01,-0.06,0.06,0.09,-0.01,-0.04,0.0,0.93,0.0,2.66,71.0
"gotterup, chris",1.64,0.0,,0.0,1.29,0.0,0.0,,0.22,-0.04,,0.13,-0.03,0.74,0.2,-0.02,0.11,0.04,0.2,0.06,0.09,-0.01,-0.04,0.0,1.64,0.0,2.68,71.0
"grehan, stuart",-1.78,0.0,,0.0,-1.78,0.0,0.0,,,,,,,,,,,0.0,0.0,,0.0,0.0,-0.04,0.0,-1.78,0.0,3.0,0.0
"greyserman, max",0.47,0.0,,0.0,0.28,-0.1,0.0,0.03,,-0.0,0.07,,0.0,0.11,0.07,0.0,0.07,0.04,0.01,0.02,0.08,-0.0,-0.04,0.0,0.38,0.0,2.82,57.0
"griffin, ben",1.29,0.0,,0.0,1.14,0.0,0.0,,0.28,-0.03,,0.14,-0.02,0.75,0.14,-0.02,0.03,0.03,-0.01,0.03,-0.0,0.0,-0.04,0.0,1.29,0.0,2.35,69.0
"grinberg, lev",-1.64,0.0,,0.0,-1.64,0.0,0.0,-0.07,,0.06,-0.42,,-0.13,-1.07,-0.14,0.04,-0.21,0.0,0.0,0.03,-0.27,0.0,-0.04,0.0,-1.64,0.0,2.7,5.0
"hall, harry",0.57,0.0,,0.0,0.48,-0.02,0.0,,0.22,-0.01,,0.1,-0.01,0.29,-0.03,-0.02,-0.11,-0.02,0.08,0.04,0.06,0.01,-0.04,0.0,0.55,0.0,2.4,61.0
"ham, jeong woo",-1.15,0.0,,0.0,-1.15,0.0,0.0,-0.06,,0.0,-0.35,,-0.0,-0.87,0.21,-0.03,-0.13,0.0,0.0,0.01,-0.27,-0.0,-0.04,0.0,-1.15,0.0,2.7,5.0
"harman, brian",0.97,0.0,,0.0,0.88,-0.02,0.0,,0.23,-0.02,,0.05,-0.01,0.32,0.09,-0.02,-0.02,0.05,0.33,-0.1,0.09,-0.0,-0.03,0.0,0.94,0.0,2.88,68.0
"harrington, padraig",-1.14,0.0,,0.0,-0.43,0.36,0.0,0.01,,0.03,-0.18,,-0.07,-0.43,-0.19,0.02,-0.16,0.06,0.12,-0.39,0.06,0.0,-0.02,0.0,-0.78,0.0,2.41,23.0
"hatton, tyrrell",1.45,0.0,,0.0,1.43,0.0,0.0,,0.32,-0.03,,0.11,-0.02,0.68,0.2,-0.02,0.03,-0.0,0.15,-0.03,0.09,-0.01,-0.03,0.0,1.45,0.0,3.01,51.0
"henley, russell",1.36,0.0,,0.0,1.33,0.0,0.0,,0.35,-0.04,,0.19,-0.03,0.77,0.14,-0.01,0.09,0.03,0.04,-0.06,-0.09,-0.01,-0.02,0.0,1.36,0.0,2.36,55.0
"herbert, lucas",0.31,0.0,,0.0,0.04,-0.14,0.0,,0.07,-0.01,,0.04,-0.01,0.28,0.03,0.01,0.02,0.03,0.03,0.02,-0.19,0.01,-0.04,0.0,0.17,0.0,3.2,39.0
"higa, kazuki",-0.86,0.0,,0.0,-0.86,0.0,0.0,-0.0,,0.01,-0.08,,-0.0,-0.27,-0.04,0.01,-0.02,-0.02,0.0,0.02,-0.27,-0.0,-0.04,0.0,-0.86,0.0,2.7,7.0
"hillier, daniel",0.21,0.0,,0.0,0.15,-0.03,0.0,0.01,,-0.01,0.03,,0.01,0.07,-0.19,0.01,0.01,0.03,0.18,0.04,0.06,-0.01,-0.04,0.0,0.18,0.0,2.75,41.0
"hisatsune, ryo",0.35,0.0,,0.0,0.34,-0.0,0.0,0.02,,-0.01,0.04,,0.04,0.11,0.16,0.0,0.04,0.02,-0.1,0.07,-0.0,-0.01,-0.04,0.0,0.35,0.0,2.87,79.0
"hojgaard, nicolai",1.26,0.0,,0.0,0.92,0.0,0.0,,0.19,-0.03,,0.1,-0.02,0.41,0.1,0.0,-0.01,0.02,0.4,0.07,0.09,-0.01,-0.04,0.0,1.26,0.0,2.72,69.0
"hojgaard, rasmus",0.24,0.0,,0.0,-0.02,-0.13,0.0,0.03,,-0.0,0.04,,0.0,0.04,-0.03,0.01,0.05,-0.03,0.02,0.06,0.08,-0.0,-0.04,0.0,0.11,0.0,2.55,51.0
"hollick, michael",-0.77,0.0,,0.0,-0.83,-0.03,0.0,0.01,,0.03,-0.23,,-0.06,-0.43,0.19,0.04,-0.21,0.0,0.0,-0.08,-0.0,0.0,-0.04,0.0,-0.8,0.0,2.6,43.0
"homa, max",0.73,0.0,,0.0,0.39,-0.08,0.0,,0.32,-0.01,,0.04,-0.01,0.3,0.08,-0.01,0.03,-0.03,0.02,-0.04,0.09,0.0,-0.04,0.0,0.64,0.0,2.56,61.0
"horschel, billy",-0.02,0.0,,0.0,-0.13,-0.06,0.0,0.04,,0.01,-0.04,,-0.03,-0.05,0.03,0.01,-0.02,0.01,0.09,-0.08,0.06,-0.0,-0.02,0.0,-0.08,0.0,2.7,61.0
"hovland, viktor",1.56,0.0,,0.0,1.75,0.0,0.0,,0.39,-0.03,,0.14,-0.02,0.77,0.22,-0.0,0.07,0.05,-0.1,0.04,0.09,-0.01,-0.04,0.0,1.56,0.0,2.83,59.0
"howard, david",-4.0,0.0,,0.0,-4.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,0.0,0.0,-0.04,0.0,-4.0,0.0,3.0,0.0
"howell, mason",-1.89,0.0,,0.0,-2.27,-0.19,0.0,-0.08,,0.0,-0.45,,-0.01,-1.24,0.03,-0.01,-0.07,0.0,0.0,-0.01,-0.02,0.0,-0.04,0.0,-2.08,0.0,2.7,15.0
"im, sungjae",-0.01,0.0,,0.0,0.28,0.14,0.0,0.05,,-0.01,0.08,,0.02,0.18,-0.17,-0.0,0.04,-0.07,-0.19,0.04,0.06,0.01,-0.04,0.0,0.13,0.0,3.07,55.0
"jarvis, casey",0.12,0.0,,0.0,0.4,0.14,0.0,0.01,,-0.01,-0.03,,0.03,-0.06,0.08,-0.01,0.01,-0.01,0.0,0.07,0.08,-0.01,-0.04,0.0,0.26,0.0,3.04,55.0
"john, cameron",-1.97,0.0,,0.0,-1.97,0.0,0.0,-0.05,,0.04,-0.31,,-0.07,-0.78,-0.15,0.04,-0.21,0.0,0.0,0.05,-0.27,0.0,-0.04,0.0,-1.97,0.0,3.04,0.0
"jordan, matthew",-0.05,0.0,,0.0,-0.07,-0.01,0.0,0.01,,0.01,-0.07,,-0.03,-0.19,-0.06,0.03,-0.03,0.04,0.25,0.02,-0.0,0.0,-0.04,0.0,-0.06,0.0,2.3,43.0
"kaneko, kota",-0.08,0.0,,0.0,-0.05,0.02,0.0,0.01,,-0.0,0.04,,0.0,0.16,-0.13,-0.01,-0.16,0.0,0.0,-0.01,0.06,-0.0,-0.04,0.0,-0.06,0.0,2.58,57.0
"kataoka, naoyuki",-1.65,0.0,,0.0,-1.65,0.0,0.0,-0.03,,0.21,-0.31,,-0.47,-0.59,-1.11,-0.01,-0.14,0.0,0.0,0.04,-0.27,0.0,-0.04,0.0,-1.65,0.0,2.7,3.0
"keefer, johnny",0.65,0.0,,0.0,0.24,-0.1,0.0,0.03,,-0.0,0.05,,0.0,0.13,0.27,0.01,0.1,-0.02,0.0,0.06,0.08,-0.02,-0.04,0.0,0.55,0.0,2.68,65.0
"kim, michael",0.35,0.0,,0.0,0.48,0.07,0.0,0.03,,-0.02,0.1,,0.02,0.22,-0.0,-0.0,0.0,-0.01,-0.01,0.0,0.06,0.0,-0.04,0.0,0.42,0.0,3.02,70.0
"kim, si woo",1.44,0.0,,0.0,1.6,0.0,0.0,,0.27,-0.04,,0.16,-0.03,0.76,0.18,-0.01,0.07,-0.02,0.02,0.02,0.09,-0.01,-0.03,0.0,1.44,0.0,2.66,75.0
"kim, tom",1.37,0.0,,0.0,1.26,0.0,0.0,,0.27,-0.02,,0.03,-0.01,0.36,0.24,-0.01,0.01,0.06,0.33,0.08,0.09,-0.01,-0.04,0.0,1.37,0.0,2.45,63.0
"kitayama, kurt",1.18,0.0,,0.0,0.89,0.0,0.0,,0.2,-0.03,,0.11,-0.02,0.55,0.08,-0.01,0.08,0.01,0.17,-0.01,0.09,-0.01,-0.04,0.0,1.18,0.0,2.99,66.0
"knapp, jake",0.77,0.0,,0.0,0.22,-0.14,0.0,,0.2,-0.03,,0.12,-0.03,0.43,-0.02,0.0,0.04,-0.02,0.04,0.01,0.06,-0.0,-0.04,0.0,0.64,0.0,2.69,43.0
"kobori, kazuma",-0.6,0.0,,0.0,-0.24,0.18,0.0,-0.01,,0.01,-0.09,,-0.03,-0.19,-0.13,0.04,-0.21,0.0,0.0,0.07,-0.02,-0.01,-0.04,0.0,-0.42,0.0,2.75,43.0
"koepka, brooks",0.68,0.0,,0.0,0.57,-0.03,0.0,,0.35,-0.03,,0.06,-0.02,0.32,-0.02,-0.0,0.05,0.07,-0.11,-0.05,0.06,-0.01,-0.02,0.0,0.65,0.0,2.77,44.0
"lacroix, frederic",-0.72,0.0,,0.0,-0.68,0.02,0.0,0.0,,0.01,-0.15,,-0.03,-0.32,-0.04,0.04,-0.21,-0.01,0.0,0.02,-0.0,-0.0,-0.04,0.0,-0.7,0.0,3.04,51.0
"lagergren, joakim",-0.63,0.0,,0.0,-0.81,-0.09,0.0,0.0,,0.03,-0.17,,-0.07,-0.4,-0.09,0.02,-0.04,-0.02,0.11,-0.02,0.06,0.0,-0.04,0.0,-0.72,0.0,3.11,47.0
"laopakdee, fifa",-2.66,0.0,,0.0,-2.66,0.0,0.0,,,,,,,,,,,0.0,0.0,,0.0,0.01,-0.04,0.0,-2.66,0.0,2.3,0.0
"laporta, francesco",-0.67,0.0,,0.0,-0.48,0.1,0.0,0.01,,0.01,-0.05,,-0.02,-0.15,-0.11,0.04,-0.21,0.0,-0.03,-0.03,-0.11,0.01,-0.04,0.0,-0.57,0.0,2.52,37.0
"lee, min woo",0.89,0.0,,0.0,1.32,0.11,0.0,,0.2,-0.03,,0.11,-0.02,0.42,0.16,0.01,0.11,0.04,-0.2,0.05,0.09,-0.0,-0.04,0.0,0.99,0.0,2.74,59.0
