player_name,pred_base,boost,override,override_adj,dg_pred,dg_adj,sheet_boost,max,max_50,lt_form,int_form,sg_6m,sma_6m,skill,sg_adj,putting,driving,majors,links,skill_v2_delta,age,dsle_,c_adj,exp,c_hist,pred,std_dev,sample
"oxendine, spencer",-2.97,0.0,,0.0,-2.96,0.0,0.0,,,,,,,,,,,0.0,0.0,-2.97,,0.0,0.0,0.0,0.0,-2.96,3.0,0.0
"parry, john",0.17,0.0,,0.0,0.26,0.04,0.0,-0.02,,0.0,0.06,,0.0,0.16,0.01,-0.01,-0.0,0.0,0.0,0.0,-0.12,0.08,0.02,-0.02,0.0,0.22,2.32,51.0
"paul, jeremy",-1.1,0.0,,0.0,-1.38,-0.14,0.0,-0.0,,-0.0,-0.34,,-0.03,-0.62,-0.26,0.04,-0.06,0.0,0.0,0.0,-0.04,0.26,-0.04,-0.02,0.0,-1.24,3.07,69.0
"pavon, matthieu",-0.24,0.0,,0.0,-0.1,0.07,0.0,-0.02,,-0.0,-0.1,,-0.0,-0.19,-0.05,0.03,0.06,0.0,-0.0,0.0,-0.05,0.1,0.0,-0.02,0.0,-0.17,2.3,41.0
"pendrith, taylor",-0.13,0.0,,0.0,0.05,0.09,0.0,-0.03,,-0.0,0.06,,-0.0,0.03,-0.03,0.02,0.0,0.0,0.0,0.0,-0.07,-0.07,-0.01,-0.02,0.0,-0.04,3.0,53.0
"penge, marco",0.78,0.0,,0.0,0.63,-0.04,0.0,,0.08,-0.02,,0.08,-0.01,0.27,0.08,0.02,0.1,-0.0,0.0,0.0,0.03,0.18,-0.01,-0.02,0.0,0.74,3.02,47.0
"peterson, paul",-0.22,0.0,,0.0,-0.49,-0.13,0.0,0.0,,-0.0,-0.12,,-0.0,-0.22,-0.02,0.03,-0.05,0.0,0.0,0.0,-0.1,0.26,0.03,-0.02,0.0,-0.36,2.3,53.0
"phillips, chandler",0.16,0.0,,0.0,0.06,-0.05,0.0,-0.01,,-0.0,0.02,,-0.0,0.09,0.15,-0.01,0.01,-0.0,0.0,0.0,-0.01,-0.07,0.02,-0.02,0.0,0.11,2.62,41.0
"poston, j.t.",0.61,0.0,,0.0,0.64,0.01,0.0,,0.16,-0.06,,0.15,-0.02,0.3,0.1,-0.0,0.03,-0.0,-0.0,0.0,-0.02,0.02,0.01,-0.05,0.0,0.62,2.76,53.0
"power, seamus",-0.14,0.0,,0.0,-0.27,-0.07,0.0,-0.03,,-0.0,0.01,,-0.01,0.02,-0.18,-0.02,-0.05,0.0,-0.0,0.0,-0.12,0.24,0.01,-0.02,0.0,-0.2,2.65,38.0
"putnam, andrew",-0.19,0.0,,0.0,-0.06,0.07,0.0,-0.02,,0.0,0.06,,0.01,0.07,-0.04,-0.02,-0.11,0.0,0.0,0.0,-0.09,-0.07,0.02,-0.02,0.0,-0.13,2.47,55.0
"ramey, chad",-0.63,0.0,,0.0,-0.36,0.14,0.0,-0.02,,-0.0,-0.12,,-0.01,-0.22,-0.11,0.01,-0.03,-0.0,0.0,0.0,-0.05,-0.07,-0.0,-0.02,0.0,-0.49,2.3,41.0
"riley, davis",-0.94,0.0,,0.0,-0.76,0.09,0.0,-0.02,,-0.0,-0.26,,-0.02,-0.38,-0.07,-0.02,-0.04,-0.0,-0.0,0.0,-0.01,-0.07,-0.02,-0.02,0.0,-0.85,3.2,43.0
"roy, kevin",0.2,0.0,,0.0,0.35,0.07,0.0,-0.01,,0.0,0.02,,0.0,0.11,0.18,0.0,0.05,-0.0,0.0,0.0,-0.08,-0.07,0.02,-0.02,0.0,0.28,2.98,51.0
"rozo, marcelo",-1.44,0.0,,0.0,-1.48,-0.02,0.0,0.01,,-0.0,-0.35,,-0.03,-0.69,-0.26,0.03,0.03,-0.0,0.0,0.0,-0.08,-0.07,-0.0,-0.02,0.0,-1.46,2.63,31.0
