Player,Pred,69.5,70.5,71.5,72.5,73.5,74.5,75.5
"brennan, michael",2.28,125,-135,-232,-407,-737,-1425,-2927
"aberg, ludvig",1.79,-325,-581,-1091,-2210,-4752,-11434,-30388
"matsuyama, hideki",1.76,163,-104,-177,-305,-542,-1023,-2058
"schauffele, xander",1.72,-316,-562,-1061,-2112,-4530,-10962,-28886
"kim, si woo",1.62,-298,-531,-996,-1968,-4207,-9762,-24350
"cantlay, patrick",1.54,-287,-501,-930,-1838,-3902,-8950,-23264
"young, cameron",1.39,-264,-464,-856,-1665,-3480,-8004,-20225
"spaun, j.j.",1.37,-261,-458,-848,-1669,-3509,-8310,-21086
"mcnealy, maverick",1.36,205,120,-141,-241,-426,-773,-1524
"pendrith, taylor",1.25,-244,-430,-786,-1548,-3209,-7120,-19057
"day, jason",1.23,221,129,-132,-225,-396,-731,-1404
"zalatoris, will",1.04,243,141,-120,-203,-355,-635,-1214
"bradley, keegan",1.03,246,143,-119,-202,-354,-638,-1212
"hojgaard, rasmus",1.02,-216,-380,-684,-1304,-2653,-5942,-13655
"english, harris",1.02,-211,-368,-669,-1276,-2595,-5874,-13985
"gotterup, chris",1.01,245,143,-118,-200,-350,-626,-1193
"stevens, samuel",1.01,244,142,-119,-202,-355,-641,-1227
"knapp, jake",1.0,251,146,-116,-197,-343,-616,-1166
"gerard, ryan",0.99,-209,-363,-661,-1280,-2628,-5547,-12837
"clark, wyndham",0.97,253,148,-114,-195,-342,-606,-1154
"scott, adam",0.97,253,147,-115,-196,-342,-617,-1173
"rose, justin",0.94,261,153,-112,-191,-330,-593,-1111
"hojgaard, nicolai",0.93,-202,-354,-635,-1210,-2453,-5320,-12921
"thorbjornsen, michael",0.89,-198,-342,-623,-1178,-2348,-5133,-12753
"coody, pierceson",0.86,271,157,-109,-185,-321,-579,-1082
"rodgers, patrick",0.81,279,160,-105,-179,-312,-563,-1062
"mccarty, matt",0.81,-189,-325,-584,-1098,-2184,-4644,-11487
"greyserman, max",0.76,284,164,-104,-178,-307,-544,-1015
"bezuidenhout, christiaan",0.73,-182,-315,-565,-1072,-2120,-4593,-10746
"homa, max",0.73,-181,-315,-566,-1070,-2101,-4621,-11447
"mccarthy, denny",0.71,-180,-310,-555,-1044,-2063,-4456,-10349
"theegala, sahith",0.7,293,168,-100,-169,-293,-521,-983
"higgo, garrick",0.7,293,170,-100,-171,-294,-528,-974
"thompson, davis",0.67,302,173,102,-166,-285,-509,-957
"noren, alex",0.66,-177,-306,-546,-1032,-2048,-4468,-10889
"olesen, thorbjorn",0.65,-175,-303,-545,-1017,-2065,-4348,-9960
"mitchell, keith",0.62,305,176,104,-163,-280,-495,-931
"neergaard-petersen, rasmus",0.59,-168,-290,-519,-958,-1883,-4093,-9562
"meissner, mac",0.59,312,180,106,-160,-275,-487,-903
"hoey, rico",0.58,-167,-289,-518,-957,-1887,-4095,-9752
"keefer, johnny",0.57,-169,-292,-520,-975,-1930,-4199,-10032
"mcgreevy, max",0.52,-163,-282,-504,-924,-1832,-3882,-8925
"bhatia, akshay",0.5,-160,-281,-496,-931,-1831,-3937,-9352
"parry, john",0.5,330,190,112,-152,-260,-458,-848
"yu, kevin",0.49,-162,-278,-489,-911,-1784,-3737,-8773
"reitan, kristoffer",0.48,337,192,113,-151,-261,-462,-841
"castillo, ricky",0.47,333,192,112,-152,-261,-459,-842
"li, haotong",0.47,338,194,114,-149,-256,-451,-831
"potgieter, aldrich",0.46,-159,-274,-490,-904,-1778,-3782,-8641
"novak, andrew",0.46,-159,-273,-483,-897,-1762,-3748,-8581
"woodland, gary",0.45,-157,-270,-481,-890,-1726,-3641,-8432
"ventura, kristoffer",0.44,339,196,116,-146,-251,-447,-821
"hodges, lee",0.36,354,204,120,-142,-242,-425,-782
"valimaki, sami",0.35,361,207,122,-139,-238,-421,-781
"smith, jordan",0.31,-146,-249,-442,-828,-1648,-3500,-7837
"smotherman, austin",0.29,372,212,125,-135,-230,-404,-738
"kim, s.h.",0.27,375,215,126,-136,-234,-413,-753
"eckroat, austin",0.26,375,216,127,-135,-233,-408,-748
"wu, dylan",0.26,-143,-244,-434,-789,-1529,-3148,-7413
"smalley, alex",0.26,377,215,127,-134,-232,-412,-758
"penge, marco",0.26,-143,-244,-431,-789,-1520,-3173,-7205
"svensson, jesper",0.26,-140,-240,-422,-768,-1505,-3135,-7125
"cole, eric",0.21,-140,-239,-416,-768,-1471,-3030,-6883
"ghim, doug",0.19,399,227,133,-129,-222,-388,-704
